television,radio,None 
physics,chemistry,None 
seven,series,None 
football,basketball,co_part_holonyms 
rock,jazz,None 
liquid,water,hyponyms 
computer,news,None 
king,queen,identity 
psychology,science,hypernyms 
man,woman,antonyms 
population,development,None 
glass,metal,None 
five,month,None 
planet,sun,None 
planet,moon,None 
image,surface,None 
journal,association,None 
type,kind,hypernyms 
media,radio,indirect_hyponyms 
music,project,None 
money,cash,None 
food,fruit,None 
school,center,None 
life,death,part_meronyms 
life,term,indirect_hypernyms 
space,chemistry,None 
skin,eye,None 
money,dollar,None 
consumer,energy,None 
experience,music,None 
coast,hill,None 
planet,star,None 
ministry,culture,None 
coast,forest,None 
cup,object,indirect_hypernyms 
money,currency,hypernyms 
cup,substance,indirect_hypernyms 
problem,airport,None 
cup,food,indirect_hypernyms 
car,flight,None 
energy,secretary,None 
president,medal,None 
plane,car,indirect_hypernyms 
student,professor,None 
holy,sex,None 
travel,activity,indirect_hypernyms 
man,governor,None 
train,car,member_meronyms 
wood,forest,identity 
direction,combination,None 
street,place,indirect_hypernyms 
stock,life,None 
peace,plan,None 
cup,article,indirect_hypernyms 
street,block,None 
media,gain,None 
century,year,indirect_part_meronyms 
street,children,None 
opera,performance,None 
professor,doctor,None 
architecture,century,None 
start,year,None 
start,match,None 
line,insurance,hyponyms 
focus,life,None 
attempt,peace,None 
money,operation,None 
peace,atmosphere,None 
stock,live,None 
development,issue,indirect_hypernyms 
opera,industry,None 
month,hotel,None 
century,nation,None 
governor,interview,None 
investigation,effort,None 
report,gain,None 
sugar,approach,None 
profit,loss,None 
drink,mother,None 
practice,institution,indirect_hyponyms 
media,trading,None 
drink,car,None 
possibility,girl,None 
minority,peace,None 
peace,insurance,None 
