physics,chemistry,co_hyponyms 
seven,series,None 
television,radio,co_hyponyms 
football,basketball,co_hyponyms 
liquid,water,hyponyms 
man,woman,antonyms 
rock,jazz,co_hyponyms 
psychology,science,hypernyms 
king,queen,identity 
type,kind,hypernyms 
image,surface,None 
music,project,None 
computer,news,None 
media,radio,indirect_hyponyms 
five,month,None 
glass,metal,None 
food,fruit,None 
planet,moon,None 
journal,association,None 
school,center,co_hyponyms 
experience,music,None 
consumer,energy,None 
money,cash,co_hyponyms 
space,chemistry,None 
population,development,None 
life,death,part_meronyms 
planet,sun,co_member_meronyms 
planet,star,co_hyponyms 
money,currency,hypernyms 
student,professor,None 
plane,car,indirect_hypernyms 
cup,food,indirect_hypernyms 
life,term,indirect_hypernyms 
money,dollar,None 
ministry,culture,None 
street,block,None 
coast,hill,None 
skin,eye,None 
car,flight,None 
street,place,indirect_hypernyms 
train,car,member_meronyms 
energy,secretary,None 
cup,object,indirect_hypernyms 
cup,substance,indirect_hypernyms 
street,children,None 
cup,article,indirect_hypernyms 
problem,airport,None 
century,year,indirect_part_meronyms 
peace,plan,None 
man,governor,None 
coast,forest,None 
architecture,century,None 
professor,doctor,None 
travel,activity,indirect_hypernyms 
start,year,None 
holy,sex,None 
direction,combination,None 
wood,forest,identity 
president,medal,None 
century,nation,None 
opera,industry,None 
sugar,approach,None 
stock,life,None 
media,gain,None 
opera,performance,None 
start,match,co_hyponyms 
development,issue,indirect_hypernyms 
focus,life,None 
minority,peace,None 
line,insurance,hyponyms 
profit,loss,None 
report,gain,None 
stock,live,None 
money,operation,None 
investigation,effort,None 
governor,interview,None 
month,hotel,None 
drink,mother,None 
peace,atmosphere,None 
attempt,peace,None 
media,trading,co_hyponyms 
drink,car,None 
practice,institution,indirect_hyponyms 
peace,insurance,None 
possibility,girl,None 
