television,radio,co_hyponyms 
physics,chemistry,co_hyponyms 
seven,series,None 
liquid,water,hyponyms 
rock,jazz,co_hyponyms 
football,basketball,co_hyponyms 
man,woman,antonyms 
king,queen,identity 
psychology,science,hypernyms 
glass,metal,None 
image,surface,None 
computer,news,None 
five,month,None 
planet,sun,co_member_meronyms 
type,kind,hypernyms 
planet,moon,None 
journal,association,None 
music,project,None 
population,development,None 
media,radio,indirect_hyponyms 
school,center,co_hyponyms 
life,death,part_meronyms 
space,chemistry,None 
planet,star,co_hyponyms 
food,fruit,None 
consumer,energy,None 
energy,secretary,None 
ministry,culture,None 
money,dollar,None 
life,term,indirect_hypernyms 
century,year,indirect_part_meronyms 
skin,eye,None 
money,currency,hypernyms 
street,block,None 
coast,hill,None 
man,governor,None 
problem,airport,None 
train,car,member_meronyms 
coast,forest,None 
cup,object,indirect_hypernyms 
cup,substance,indirect_hypernyms 
experience,music,None 
car,flight,None 
money,cash,co_hyponyms 
architecture,century,None 
plane,car,indirect_hypernyms 
cup,food,indirect_hypernyms 
cup,article,indirect_hypernyms 
student,professor,None 
street,place,indirect_hypernyms 
start,year,None 
holy,sex,None 
stock,life,None 
focus,life,None 
direction,combination,None 
president,medal,None 
media,gain,None 
media,trading,co_hyponyms 
opera,performance,None 
street,children,None 
wood,forest,identity 
peace,plan,None 
stock,live,None 
professor,doctor,None 
line,insurance,hyponyms 
start,match,co_hyponyms 
century,nation,None 
report,gain,None 
minority,peace,None 
travel,activity,indirect_hypernyms 
development,issue,indirect_hypernyms 
opera,industry,None 
peace,atmosphere,None 
month,hotel,None 
sugar,approach,None 
money,operation,None 
profit,loss,None 
governor,interview,None 
practice,institution,indirect_hyponyms 
peace,insurance,None 
drink,mother,None 
attempt,peace,None 
possibility,girl,None 
drink,car,None 
investigation,effort,None 
