physics,chemistry,None 
football,basketball,co_part_holonyms 
television,radio,None 
seven,series,None 
liquid,water,hyponyms 
five,month,None 
computer,news,None 
rock,jazz,None 
man,woman,antonyms 
king,queen,identity 
glass,metal,None 
type,kind,hypernyms 
psychology,science,hypernyms 
food,fruit,None 
money,dollar,None 
music,project,None 
planet,moon,None 
image,surface,None 
population,development,None 
consumer,energy,None 
planet,sun,None 
media,radio,indirect_hyponyms 
money,cash,None 
skin,eye,None 
journal,association,None 
life,death,part_meronyms 
train,car,member_meronyms 
school,center,None 
planet,star,None 
space,chemistry,None 
money,currency,hypernyms 
cup,food,indirect_hypernyms 
cup,object,indirect_hypernyms 
cup,substance,indirect_hypernyms 
life,term,indirect_hypernyms 
ministry,culture,None 
energy,secretary,None 
street,block,None 
man,governor,None 
street,place,indirect_hypernyms 
problem,airport,None 
president,medal,None 
century,year,indirect_part_meronyms 
experience,music,None 
car,flight,None 
student,professor,None 
cup,article,indirect_hypernyms 
architecture,century,None 
start,year,None 
wood,forest,identity 
coast,forest,None 
plane,car,indirect_hypernyms 
media,gain,None 
opera,performance,None 
coast,hill,None 
holy,sex,None 
direction,combination,None 
stock,life,None 
professor,doctor,None 
stock,live,None 
peace,plan,None 
money,operation,None 
opera,industry,None 
street,children,None 
month,hotel,None 
focus,life,None 
minority,peace,None 
line,insurance,hyponyms 
start,match,None 
development,issue,indirect_hypernyms 
century,nation,None 
sugar,approach,None 
drink,car,None 
report,gain,None 
travel,activity,indirect_hypernyms 
peace,atmosphere,None 
drink,mother,None 
profit,loss,None 
attempt,peace,None 
governor,interview,None 
peace,insurance,None 
practice,institution,indirect_hyponyms 
media,trading,None 
investigation,effort,None 
possibility,girl,None 
