football,basketball,co_hyponyms 
television,radio,co_hyponyms 
rock,jazz,co_hyponyms 
seven,series,None 
physics,chemistry,co_hyponyms 
liquid,water,hyponyms 
king,queen,identity 
computer,news,None 
man,woman,antonyms 
image,surface,None 
journal,association,None 
five,month,None 
music,project,None 
psychology,science,hypernyms 
glass,metal,None 
school,center,co_hyponyms 
population,development,None 
food,fruit,None 
type,kind,hypernyms 
money,cash,co_hyponyms 
planet,moon,None 
space,chemistry,None 
consumer,energy,None 
media,radio,indirect_hyponyms 
planet,sun,co_member_meronyms 
life,term,indirect_hypernyms 
life,death,part_meronyms 
money,dollar,None 
experience,music,None 
planet,star,co_hyponyms 
energy,secretary,None 
money,currency,hypernyms 
cup,object,indirect_hypernyms 
skin,eye,None 
problem,airport,None 
president,medal,None 
street,block,None 
ministry,culture,None 
man,governor,None 
cup,article,indirect_hypernyms 
peace,plan,None 
start,year,None 
street,place,indirect_hypernyms 
train,car,member_meronyms 
wood,forest,identity 
plane,car,indirect_hypernyms 
coast,forest,None 
cup,food,indirect_hypernyms 
century,year,indirect_part_meronyms 
student,professor,None 
holy,sex,None 
coast,hill,None 
street,children,None 
cup,substance,indirect_hypernyms 
media,gain,None 
car,flight,None 
direction,combination,None 
focus,life,None 
peace,atmosphere,None 
architecture,century,None 
report,gain,None 
development,issue,indirect_hypernyms 
professor,doctor,None 
opera,performance,None 
century,nation,None 
governor,interview,None 
month,hotel,None 
start,match,co_hyponyms 
money,operation,None 
stock,live,None 
minority,peace,None 
stock,life,None 
profit,loss,None 
opera,industry,None 
line,insurance,hyponyms 
attempt,peace,None 
practice,institution,indirect_hyponyms 
sugar,approach,None 
investigation,effort,None 
drink,mother,None 
possibility,girl,None 
travel,activity,indirect_hypernyms 
media,trading,co_hyponyms 
peace,insurance,None 
drink,car,None 
