actress,actor,hypernyms 
actor,singer,None 
son,father,None 
composer,writer,None 
south,north,antonyms 
movie,film,identity 
area,region,identity 
mother,wife,None 
basketball,baseball,co_hyponyms 
brother,son,None 
father,brother,None 
father,daughter,None 
understand,know,hyponyms 
winter,summer,co_hyponyms 
river,valley,None 
dog,cat,None 
north,west,indirect_part_holonyms 
molecule,atom,identity 
prince,king,co_member_meronyms 
woman,man,antonyms 
boundary,border,synonyms 
population,people,hypernyms 
father,god,None 
logic,arithmetic,None 
create,make,identity 
word,dictionary,None 
easy,difficult,antonyms 
atom,carbon,None 
god,spirit,co_hyponyms 
bottom,top,antonyms 
formula,equation,co_hyponyms 
new,ancient,None 
know,believe,hypernyms 
modern,ancient,co_hyponyms 
navy,army,co_hyponyms 
dog,horse,None 
corporation,business,indirect_hypernyms 
sea,ocean,identity 
book,literature,None 
phrase,word,identity 
book,article,co_hyponyms 
old,new,antonyms 
water,ice,substance_holonyms 
narrow,broad,antonyms 
administration,management,hypernyms 
home,state,indirect_hypernyms 
chemistry,theory,None 
short,long,antonyms 
word,literature,None 
people,party,None 
wife,husband,antonyms 
create,build,synonyms 
give,allow,synonyms 
book,bible,identity 
science,psychology,hyponyms 
river,sea,None 
medium,news,None 
go,come,synonyms 
book,story,co_hyponyms 
business,industry,hyponyms 
different,normal,None 
word,page,None 
man,father,co_hyponyms 
book,information,indirect_hypernyms 
boy,son,identity 
large,huge,similar_tos 
moon,planet,hypernyms 
man,child,hyponyms 
book,text,hyponyms 
plane,airport,None 
baby,daughter,hypernyms 
business,company,None 
boy,brother,None 
child,boy,indirect_hyponyms 
hard,difficult,identity 
dictionary,definition,None 
night,day,part_holonyms 
politician,president,None 
keep,give,synonyms 
apparent,obvious,similar_tos 
mouse,cat,None 
want,choose,co_hyponyms 
accept,believe,hyponyms 
machine,engine,indirect_hyponyms 
glass,crystal,indirect_hyponyms 
club,society,identity 
woman,wife,hyponyms 
college,class,None 
intelligence,logic,None 
beach,island,None 
belief,concept,co_hyponyms 
get,put,synonyms 
snow,weather,indirect_hypernyms 
disc,computer,None 
carry,bring,synonyms 
add,build,hypernyms 
motor,engine,hyponyms 
absence,presence,antonyms 
activity,movement,hyponyms 
game,action,hypernyms 
take,carry,identity 
area,zone,co_hyponyms 
give,know,indirect_hypernyms 
friend,mother,None 
difficult,simple,None 
beer,alcohol,indirect_hypernyms 
water,salt,co_hyponyms 
winter,season,hypernyms 
school,law,None 
argument,criticism,None 
alcohol,wine,hyponyms 
tax,income,None 
large,big,identity 
go,allow,hypernyms 
make,become,synonyms 
communication,language,hyponyms 
idea,image,indirect_hyponyms 
door,gate,co_hyponyms 
recent,new,similar_tos 
leave,go,synonyms 
right,justice,hypernyms 
house,key,co_hyponyms 
hard,easy,antonyms 
go,enter,hyponyms 
car,bridge,None 
receive,give,synonyms 
vehicle,bus,indirect_hyponyms 
bring,send,hypernyms 
money,capital,None 
king,princess,co_member_meronyms 
wide,narrow,antonyms 
president,mayor,None 
book,essay,None 
mouse,management,None 
wood,paper,None 
date,calendar,None 
value,belief,None 
day,morning,part_meronyms 
leader,manager,indirect_hyponyms 
proof,fact,None 
explain,prove,co_hyponyms 
essential,necessary,identity 
student,professor,None 
leave,enter,co_hyponyms 
necessary,important,None 
song,story,None 
simple,easy,also_sees 
girl,child,hyponyms 
big,heavy,identity 
leave,remain,None 
champion,winner,None 
winner,candidate,co_hyponyms 
strength,might,hypernyms 
biography,fiction,None 
hard,simple,None 
way,manner,identity 
tower,bell,None 
top,side,hypernyms 
take,leave,synonyms 
card,bridge,None 
job,management,None 
idea,scheme,indirect_hyponyms 
come,bring,synonyms 
give,put,synonyms 
style,fashion,identity 
hole,wife,None 
article,journal,None 
take,receive,synonyms 
formal,proper,None 
princess,island,None 
code,symbol,None 
animal,person,co_hyponyms 
become,appear,None 
keep,protect,hypernyms 
molecule,air,None 
rice,boy,None 
fast,rapid,similar_tos 
august,month,indirect_hypernyms 
