actress,actor,hypernyms 
composer,writer,None 
actor,singer,None 
south,north,antonyms 
basketball,baseball,co_hyponyms 
winter,summer,co_hyponyms 
son,father,None 
brother,son,None 
mother,wife,None 
understand,know,hyponyms 
dog,cat,None 
molecule,atom,identity 
logic,arithmetic,None 
father,daughter,None 
create,build,synonyms 
movie,film,identity 
phrase,word,identity 
father,brother,None 
accept,believe,hyponyms 
want,choose,co_hyponyms 
know,believe,hypernyms 
bring,send,hypernyms 
narrow,broad,antonyms 
large,huge,similar_tos 
give,allow,synonyms 
dog,horse,None 
apparent,obvious,similar_tos 
wife,husband,antonyms 
river,valley,None 
easy,difficult,antonyms 
formula,equation,co_hyponyms 
create,make,identity 
keep,give,synonyms 
area,region,identity 
add,build,hypernyms 
explain,prove,co_hyponyms 
carry,bring,synonyms 
north,west,indirect_part_holonyms 
prince,king,co_member_meronyms 
save,protect,None 
boundary,border,synonyms 
atom,carbon,None 
navy,army,co_hyponyms 
couple,pair,identity 
keep,protect,hypernyms 
leave,enter,co_hyponyms 
receive,give,synonyms 
door,gate,co_hyponyms 
go,send,indirect_hyponyms 
send,receive,co_hyponyms 
woman,man,antonyms 
go,enter,hyponyms 
champion,winner,None 
beach,island,None 
give,know,indirect_hypernyms 
lose,keep,antonyms 
water,salt,co_hyponyms 
achieve,try,indirect_hyponyms 
friend,mother,None 
join,add,synonyms 
lose,get,synonyms 
essential,necessary,identity 
get,put,synonyms 
moon,planet,hypernyms 
agree,argue,None 
hard,difficult,identity 
come,bring,synonyms 
driver,pilot,None 
woman,wife,hyponyms 
take,carry,identity 
president,mayor,None 
baby,daughter,hypernyms 
mouse,cat,None 
bottom,top,antonyms 
argue,prove,None 
science,psychology,hyponyms 
snow,weather,indirect_hypernyms 
decade,century,part_holonyms 
absence,presence,antonyms 
friend,teacher,None 
author,creator,indirect_hypernyms 
try,think,indirect_hypernyms 
hard,easy,antonyms 
wide,narrow,antonyms 
god,spirit,co_hyponyms 
formal,proper,None 
difficult,simple,None 
leave,go,synonyms 
alcohol,wine,hyponyms 
fast,rapid,similar_tos 
leave,remain,None 
give,put,synonyms 
go,come,synonyms 
take,receive,synonyms 
winner,candidate,co_hyponyms 
boat,car,hyponyms 
glass,crystal,indirect_hyponyms 
sea,ocean,identity 
modern,ancient,co_hyponyms 
become,seem,None 
argument,criticism,None 
father,god,None 
tax,income,None 
go,allow,hypernyms 
girl,child,hyponyms 
take,leave,synonyms 
boy,brother,None 
administration,management,hypernyms 
simple,easy,also_sees 
politician,president,None 
boy,soldier,None 
boy,son,identity 
necessary,important,None 
take,obtain,synonyms 
become,appear,None 
belief,opinion,identity 
dictionary,definition,None 
river,sea,None 
winter,season,hypernyms 
motor,boat,None 
motor,engine,hyponyms 
population,people,hypernyms 
machine,engine,indirect_hyponyms 
hand,foot,indirect_hypernyms 
situation,condition,hypernyms 
august,month,indirect_hypernyms 
make,become,synonyms 
belief,concept,co_hyponyms 
beer,alcohol,indirect_hypernyms 
wood,paper,None 
style,fashion,identity 
proof,fact,None 
strength,might,hypernyms 
corporation,business,indirect_hypernyms 
article,journal,None 
sun,sky,None 
book,story,co_hyponyms 
attention,interest,None 
short,long,antonyms 
intelligence,logic,None 
job,management,None 
vehicle,bus,indirect_hyponyms 
word,dictionary,None 
god,priest,None 
sky,universe,part_holonyms 
word,literature,None 
day,morning,part_meronyms 
way,manner,identity 
biography,fiction,None 
child,adult,co_hyponyms 
king,princess,co_member_meronyms 
child,boy,indirect_hyponyms 
mouse,management,None 
book,bible,identity 
wealth,fame,None 
leave,appear,indirect_hyponyms 
night,day,part_holonyms 
communication,language,hyponyms 
water,ice,substance_holonyms 
chemistry,theory,None 
idea,scheme,indirect_hyponyms 
business,industry,hyponyms 
era,decade,co_hyponyms 
activity,movement,hyponyms 
plane,airport,None 
different,normal,None 
student,professor,None 
chief,mayor,None 
book,text,hyponyms 
book,essay,None 
song,story,None 
door,floor,co_hyponyms 
tower,bell,None 
discussion,argument,hyponyms 
book,literature,None 
opinion,choice,None 
leader,manager,indirect_hyponyms 
hole,wife,None 
journey,conquest,None 
get,remain,None 
adult,baby,indirect_hyponyms 
brother,soul,indirect_hypernyms 
task,job,identity 
recent,new,similar_tos 
book,article,co_hyponyms 
rice,boy,None 
begin,go,synonyms 
foot,head,indirect_part_meronyms 
money,diamond,None 
old,new,antonyms 
bottom,side,hypernyms 
word,page,None 
hard,simple,None 
second,minute,identity 
disc,computer,None 
destruction,construction,None 
princess,island,None 
animal,person,co_hyponyms 
intelligence,skill,co_hyponyms 
new,ancient,None 
doctor,professor,None 
business,company,None 
date,calendar,None 
man,father,co_hyponyms 
reality,fantasy,None 
plate,bowl,co_hyponyms 
large,big,identity 
beach,sea,None 
condition,boy,None 
argument,agreement,None 
card,bridge,None 
boy,partner,None 
medium,news,None 
money,capital,None 
opinion,idea,synonyms 
area,zone,co_hyponyms 
communication,television,indirect_hyponyms 
word,newspaper,None 
agree,differ,antonyms 
bird,turkey,indirect_hyponyms 
battle,conquest,None 
molecule,air,None 
action,course,hyponyms 
long,narrow,None 
car,bridge,None 
idea,image,indirect_hyponyms 
winner,goal,None 
man,child,hyponyms 
effort,difficulty,hyponyms 
value,belief,None 
college,class,None 
club,society,identity 
argue,differ,entailments 
book,information,indirect_hypernyms 
people,party,None 
bell,door,None 
presence,door,None 
arm,body,part_holonyms 
dollar,people,None 
people,gun,None 
night,chapter,None 
camera,president,None 
woman,secretary,None 
big,heavy,identity 
book,theme,co_hyponyms 
room,cell,hyponyms 
right,justice,hypernyms 
man,husband,None 
code,symbol,None 
home,state,indirect_hypernyms 
top,side,hypernyms 
game,action,hypernyms 
winner,presence,None 
street,car,None 
island,task,None 
chapter,choice,None 
easy,big,None 
bad,great,synonyms 
newspaper,information,None 
big,broad,synonyms 
hole,agreement,None 
school,law,None 
wealth,poverty,antonyms 
car,highway,None 
task,woman,None 
task,highway,None 
house,key,co_hyponyms 
