actress,actor,hypernyms 
actor,singer,None 
son,father,None 
south,north,antonyms 
composer,writer,None 
area,region,identity 
brother,son,None 
movie,film,identity 
mother,wife,None 
molecule,atom,identity 
river,valley,None 
father,brother,None 
father,daughter,None 
basketball,baseball,co_hyponyms 
winter,summer,co_hyponyms 
north,west,indirect_part_holonyms 
boundary,border,synonyms 
word,dictionary,None 
prince,king,co_member_meronyms 
understand,know,hyponyms 
population,people,hypernyms 
river,sea,None 
dog,cat,None 
short,long,antonyms 
atom,carbon,None 
beach,island,None 
father,god,None 
old,new,antonyms 
easy,difficult,antonyms 
water,ice,substance_holonyms 
know,believe,hypernyms 
sea,ocean,identity 
people,party,None 
word,page,None 
logic,arithmetic,None 
chemistry,theory,None 
new,ancient,None 
science,psychology,hyponyms 
school,law,None 
modern,ancient,co_hyponyms 
create,make,identity 
bottom,top,antonyms 
woman,man,antonyms 
dictionary,definition,None 
book,information,indirect_hypernyms 
formula,equation,co_hyponyms 
book,article,co_hyponyms 
home,state,indirect_hypernyms 
corporation,business,indirect_hypernyms 
narrow,broad,antonyms 
administration,management,hypernyms 
navy,army,co_hyponyms 
moon,planet,hypernyms 
snow,weather,indirect_hypernyms 
dog,horse,None 
man,child,hyponyms 
tax,income,None 
college,class,None 
book,text,hyponyms 
book,bible,identity 
boy,son,identity 
game,action,hypernyms 
medium,news,None 
want,choose,co_hyponyms 
accept,believe,hyponyms 
wife,husband,antonyms 
create,build,synonyms 
glass,crystal,indirect_hyponyms 
word,literature,None 
alcohol,wine,hyponyms 
god,spirit,co_hyponyms 
right,justice,hypernyms 
phrase,word,identity 
disc,computer,None 
business,industry,hyponyms 
beach,sea,None 
business,company,None 
book,story,co_hyponyms 
give,allow,synonyms 
large,big,identity 
night,day,part_holonyms 
house,key,co_hyponyms 
beer,alcohol,indirect_hypernyms 
child,boy,indirect_hyponyms 
book,literature,None 
boy,brother,None 
mouse,management,None 
belief,concept,co_hyponyms 
keep,give,synonyms 
club,society,identity 
communication,language,hyponyms 
man,father,co_hyponyms 
bring,send,hypernyms 
plane,airport,None 
mouse,cat,None 
friend,mother,None 
woman,wife,hyponyms 
king,princess,co_member_meronyms 
take,carry,identity 
go,come,synonyms 
large,huge,similar_tos 
politician,president,None 
simple,easy,also_sees 
money,capital,None 
champion,winner,None 
add,build,hypernyms 
water,salt,co_hyponyms 
area,zone,co_hyponyms 
different,normal,None 
arm,body,part_holonyms 
argument,criticism,None 
president,mayor,None 
intelligence,logic,None 
hard,simple,None 
vehicle,bus,indirect_hyponyms 
difficult,simple,None 
princess,island,None 
activity,movement,hyponyms 
hard,difficult,identity 
keep,protect,hypernyms 
door,gate,co_hyponyms 
molecule,air,None 
child,adult,co_hyponyms 
make,become,synonyms 
hard,easy,antonyms 
way,manner,identity 
top,side,hypernyms 
receive,give,synonyms 
car,bridge,None 
girl,child,hyponyms 
necessary,important,None 
carry,bring,synonyms 
biography,fiction,None 
leader,manager,indirect_hyponyms 
reality,fantasy,None 
wide,narrow,antonyms 
winter,season,hypernyms 
hand,foot,indirect_hypernyms 
idea,image,indirect_hyponyms 
essential,necessary,identity 
winner,candidate,co_hyponyms 
sun,sky,None 
card,bridge,None 
machine,engine,indirect_hyponyms 
take,leave,synonyms 
motor,engine,hyponyms 
big,heavy,identity 
come,bring,synonyms 
recent,new,similar_tos 
go,enter,hyponyms 
foot,head,indirect_part_meronyms 
take,receive,synonyms 
leave,go,synonyms 
give,know,indirect_hypernyms 
driver,pilot,None 
dollar,people,None 
send,receive,co_hyponyms 
absence,presence,antonyms 
job,management,None 
word,newspaper,None 
value,belief,None 
baby,daughter,hypernyms 
become,appear,None 
long,narrow,None 
code,symbol,None 
chief,mayor,None 
student,professor,None 
hole,wife,None 
god,priest,None 
people,gun,None 
get,put,synonyms 
august,month,indirect_hypernyms 
situation,condition,hypernyms 
lose,get,synonyms 
go,send,indirect_hyponyms 
book,essay,None 
discussion,argument,hyponyms 
motor,boat,None 
