actress,actor,hypernyms 
actor,singer,None 
son,father,None 
south,north,antonyms 
composer,writer,None 
area,region,identity 
movie,film,identity 
brother,son,None 
mother,wife,None 
winter,summer,co_hyponyms 
river,valley,None 
basketball,baseball,co_hyponyms 
father,daughter,None 
molecule,atom,identity 
father,brother,None 
prince,king,co_member_meronyms 
north,west,indirect_part_holonyms 
father,god,None 
logic,arithmetic,None 
boundary,border,synonyms 
population,people,hypernyms 
river,sea,None 
dog,cat,None 
woman,man,antonyms 
understand,know,hyponyms 
science,psychology,hyponyms 
modern,ancient,co_hyponyms 
atom,carbon,None 
navy,army,co_hyponyms 
old,new,antonyms 
corporation,business,indirect_hypernyms 
sea,ocean,identity 
dictionary,definition,None 
create,make,identity 
business,company,None 
give,allow,synonyms 
new,ancient,None 
moon,planet,hypernyms 
know,believe,hypernyms 
different,normal,None 
word,dictionary,None 
book,story,co_hyponyms 
people,party,None 
business,industry,hyponyms 
short,long,antonyms 
chemistry,theory,None 
book,article,co_hyponyms 
word,page,None 
formula,equation,co_hyponyms 
water,ice,substance_holonyms 
book,information,indirect_hypernyms 
phrase,word,identity 
book,text,hyponyms 
bottom,top,antonyms 
home,state,indirect_hypernyms 
beach,island,None 
god,spirit,co_hyponyms 
easy,difficult,antonyms 
dog,horse,None 
create,build,synonyms 
word,literature,None 
man,father,co_hyponyms 
narrow,broad,antonyms 
intelligence,logic,None 
administration,management,hypernyms 
large,huge,similar_tos 
wife,husband,antonyms 
right,justice,hypernyms 
book,bible,identity 
tax,income,None 
accept,believe,hyponyms 
boy,son,identity 
mouse,management,None 
man,child,hyponyms 
belief,concept,co_hyponyms 
book,literature,None 
go,come,synonyms 
college,class,None 
politician,president,None 
area,zone,co_hyponyms 
want,choose,co_hyponyms 
glass,crystal,indirect_hyponyms 
keep,give,synonyms 
club,society,identity 
game,action,hypernyms 
child,boy,indirect_hyponyms 
biography,fiction,None 
communication,language,hyponyms 
leave,go,synonyms 
medium,news,None 
take,leave,synonyms 
machine,engine,indirect_hyponyms 
plane,airport,None 
hard,difficult,identity 
house,key,co_hyponyms 
mouse,cat,None 
boy,brother,None 
essential,necessary,identity 
school,law,None 
leave,enter,co_hyponyms 
get,put,synonyms 
idea,image,indirect_hyponyms 
add,build,hypernyms 
large,big,identity 
receive,give,synonyms 
night,day,part_holonyms 
door,gate,co_hyponyms 
street,car,None 
woman,wife,hyponyms 
president,mayor,None 
difficult,simple,None 
disc,computer,None 
winner,candidate,co_hyponyms 
book,essay,None 
winter,season,hypernyms 
water,salt,co_hyponyms 
necessary,important,None 
keep,protect,hypernyms 
value,belief,None 
take,carry,identity 
give,know,indirect_hypernyms 
take,receive,synonyms 
king,princess,co_member_meronyms 
song,story,None 
hard,simple,None 
activity,movement,hyponyms 
fast,rapid,similar_tos 
way,manner,identity 
wide,narrow,antonyms 
child,adult,co_hyponyms 
argument,criticism,None 
snow,weather,indirect_hypernyms 
go,allow,hypernyms 
animal,person,co_hyponyms 
join,add,synonyms 
motor,engine,hyponyms 
god,priest,None 
leave,remain,None 
car,bridge,None 
top,side,hypernyms 
apparent,obvious,similar_tos 
hand,foot,indirect_hypernyms 
sun,sky,None 
friend,mother,None 
code,symbol,None 
girl,child,hyponyms 
recent,new,similar_tos 
job,management,None 
go,enter,hyponyms 
rice,boy,None 
alcohol,wine,hyponyms 
make,become,synonyms 
money,capital,None 
friend,teacher,None 
discussion,argument,hyponyms 
lose,get,synonyms 
card,bridge,None 
get,remain,None 
proof,fact,None 
big,heavy,identity 
molecule,air,None 
bring,send,hypernyms 
reality,fantasy,None 
date,calendar,None 
foot,head,indirect_part_meronyms 
beer,alcohol,indirect_hypernyms 
absence,presence,antonyms 
princess,island,None 
august,month,indirect_hypernyms 
formal,proper,None 
go,send,indirect_hyponyms 
simple,easy,also_sees 
long,narrow,None 
explain,prove,co_hyponyms 
lose,keep,antonyms 
arm,body,part_holonyms 
article,journal,None 
tower,bell,None 
beach,sea,None 
