actress,actor,hypernyms 
actor,singer,None 
south,north,antonyms 
son,father,None 
composer,writer,None 
brother,son,None 
father,brother,None 
area,region,identity 
winter,summer,co_hyponyms 
movie,film,identity 
mother,wife,None 
boundary,border,synonyms 
father,daughter,None 
north,west,indirect_part_holonyms 
river,valley,None 
basketball,baseball,co_hyponyms 
molecule,atom,identity 
population,people,hypernyms 
prince,king,co_member_meronyms 
river,sea,None 
bottom,top,antonyms 
father,god,None 
understand,know,hyponyms 
woman,man,antonyms 
sea,ocean,identity 
new,ancient,None 
water,ice,substance_holonyms 
school,law,None 
people,party,None 
atom,carbon,None 
word,dictionary,None 
navy,army,co_hyponyms 
god,spirit,co_hyponyms 
short,long,antonyms 
word,page,None 
beach,island,None 
narrow,broad,antonyms 
mouse,cat,None 
dog,cat,None 
logic,arithmetic,None 
old,new,antonyms 
chemistry,theory,None 
know,believe,hypernyms 
book,bible,identity 
science,psychology,hyponyms 
business,company,None 
dictionary,definition,None 
dog,horse,None 
easy,difficult,antonyms 
create,make,identity 
keep,give,synonyms 
administration,management,hypernyms 
formula,equation,co_hyponyms 
glass,crystal,indirect_hyponyms 
book,information,indirect_hypernyms 
give,allow,synonyms 
book,text,hyponyms 
accept,believe,hyponyms 
corporation,business,indirect_hypernyms 
home,state,indirect_hypernyms 
moon,planet,hypernyms 
machine,engine,indirect_hyponyms 
disc,computer,None 
tax,income,None 
intelligence,logic,None 
large,huge,similar_tos 
belief,concept,co_hyponyms 
beach,sea,None 
child,boy,indirect_hyponyms 
water,salt,co_hyponyms 
wife,husband,antonyms 
want,choose,co_hyponyms 
modern,ancient,co_hyponyms 
create,build,synonyms 
medium,news,None 
politician,president,None 
book,literature,None 
argument,criticism,None 
boy,son,identity 
book,article,co_hyponyms 
door,gate,co_hyponyms 
phrase,word,identity 
house,key,co_hyponyms 
mouse,management,None 
bring,send,hypernyms 
money,capital,None 
man,father,co_hyponyms 
different,normal,None 
communication,language,hyponyms 
motor,engine,hyponyms 
hard,difficult,identity 
man,child,hyponyms 
college,class,None 
baby,daughter,hypernyms 
keep,protect,hypernyms 
arm,body,part_holonyms 
champion,winner,None 
book,story,co_hyponyms 
word,literature,None 
business,industry,hyponyms 
sun,sky,None 
friend,mother,None 
car,bridge,None 
large,big,identity 
snow,weather,indirect_hypernyms 
night,day,part_holonyms 
club,society,identity 
alcohol,wine,hyponyms 
leader,manager,indirect_hyponyms 
top,side,hypernyms 
get,put,synonyms 
give,know,indirect_hypernyms 
hard,easy,antonyms 
go,come,synonyms 
area,zone,co_hyponyms 
dollar,people,None 
card,bridge,None 
leave,go,synonyms 
girl,child,hyponyms 
game,action,hypernyms 
right,justice,hypernyms 
president,mayor,None 
essential,necessary,identity 
biography,fiction,None 
go,enter,hyponyms 
plane,airport,None 
vehicle,bus,indirect_hyponyms 
idea,image,indirect_hyponyms 
explain,prove,co_hyponyms 
make,become,synonyms 
way,manner,identity 
king,princess,co_member_meronyms 
boy,brother,None 
winner,candidate,co_hyponyms 
beer,alcohol,indirect_hypernyms 
save,protect,None 
difficult,simple,None 
go,send,indirect_hyponyms 
leave,enter,co_hyponyms 
date,calendar,None 
child,adult,co_hyponyms 
go,allow,hypernyms 
carry,bring,synonyms 
come,bring,synonyms 
add,build,hypernyms 
tower,bell,None 
hand,foot,indirect_hypernyms 
receive,give,synonyms 
money,diamond,None 
begin,go,synonyms 
word,newspaper,None 
lose,get,synonyms 
woman,wife,hyponyms 
join,add,synonyms 
wide,narrow,antonyms 
people,gun,None 
street,car,None 
august,month,indirect_hypernyms 
take,leave,synonyms 
take,receive,synonyms 
recent,new,similar_tos 
song,story,None 
take,carry,identity 
student,professor,None 
door,floor,co_hyponyms 
winter,season,hypernyms 
necessary,important,None 
fast,rapid,similar_tos 
argument,agreement,None 
value,belief,None 
long,narrow,None 
simple,easy,also_sees 
condition,boy,None 
agree,argue,None 
foot,head,indirect_part_meronyms 
molecule,air,None 
send,receive,co_hyponyms 
job,management,None 
communication,television,indirect_hyponyms 
give,put,synonyms 
try,think,indirect_hypernyms 
wood,paper,None 
big,heavy,identity 
bottom,side,hypernyms 
become,appear,None 
winner,goal,None 
adult,baby,indirect_hyponyms 
chief,mayor,None 
style,fashion,identity 
newspaper,information,None 
absence,presence,antonyms 
book,essay,None 
reality,fantasy,None 
task,job,identity 
code,symbol,None 
princess,island,None 
attention,interest,None 
activity,movement,hyponyms 
car,highway,None 
driver,pilot,None 
proof,fact,None 
second,minute,identity 
hole,agreement,None 
situation,condition,hypernyms 
hard,simple,None 
take,obtain,synonyms 
battle,conquest,None 
room,cell,hyponyms 
man,husband,None 
get,remain,None 
god,priest,None 
animal,person,co_hyponyms 
leave,remain,None 
article,journal,None 
boat,car,hyponyms 
apparent,obvious,similar_tos 
formal,proper,None 
action,course,hyponyms 
discussion,argument,hyponyms 
couple,pair,identity 
lose,keep,antonyms 
hole,wife,None 
motor,boat,None 
doctor,professor,None 
argue,prove,None 
achieve,try,indirect_hyponyms 
boy,partner,None 
strength,might,hypernyms 
brother,soul,indirect_hypernyms 
sky,universe,part_holonyms 
book,theme,co_hyponyms 
friend,teacher,None 
agree,differ,antonyms 
author,creator,indirect_hypernyms 
bell,door,None 
destruction,construction,None 
day,morning,part_meronyms 
leave,appear,indirect_hyponyms 
rice,boy,None 
bird,turkey,indirect_hyponyms 
belief,opinion,identity 
argue,differ,entailments 
easy,big,None 
intelligence,skill,co_hyponyms 
plate,bowl,co_hyponyms 
big,broad,synonyms 
camera,president,None 
idea,scheme,indirect_hyponyms 
woman,secretary,None 
bad,great,synonyms 
decade,century,part_holonyms 
island,task,None 
become,seem,None 
era,decade,co_hyponyms 
presence,door,None 
opinion,idea,synonyms 
wealth,poverty,antonyms 
night,chapter,None 
boy,soldier,None 
winner,presence,None 
effort,difficulty,hyponyms 
chapter,choice,None 
wealth,fame,None 
opinion,choice,None 
task,highway,None 
journey,conquest,None 
task,woman,None 
