actress,actor,hypernyms 
actor,singer,None 
south,north,antonyms 
son,father,None 
composer,writer,None 
area,region,identity 
movie,film,identity 
brother,son,None 
mother,wife,None 
north,west,indirect_part_holonyms 
molecule,atom,identity 
winter,summer,co_hyponyms 
father,brother,None 
father,daughter,None 
river,valley,None 
population,people,hypernyms 
prince,king,co_member_meronyms 
understand,know,hyponyms 
boundary,border,synonyms 
woman,man,antonyms 
basketball,baseball,co_hyponyms 
atom,carbon,None 
logic,arithmetic,None 
word,page,None 
book,bible,identity 
father,god,None 
dog,cat,None 
science,psychology,hyponyms 
word,dictionary,None 
easy,difficult,antonyms 
modern,ancient,co_hyponyms 
river,sea,None 
navy,army,co_hyponyms 
sea,ocean,identity 
people,party,None 
business,company,None 
create,make,identity 
narrow,broad,antonyms 
water,ice,substance_holonyms 
old,new,antonyms 
dog,horse,None 
new,ancient,None 
give,allow,synonyms 
dictionary,definition,None 
bottom,top,antonyms 
short,long,antonyms 
corporation,business,indirect_hypernyms 
chemistry,theory,None 
phrase,word,identity 
book,article,co_hyponyms 
know,believe,hypernyms 
accept,believe,hyponyms 
administration,management,hypernyms 
create,build,synonyms 
keep,give,synonyms 
different,normal,None 
water,salt,co_hyponyms 
formula,equation,co_hyponyms 
book,text,hyponyms 
man,father,co_hyponyms 
hard,difficult,identity 
friend,mother,None 
beach,island,None 
give,know,indirect_hypernyms 
book,information,indirect_hypernyms 
word,literature,None 
moon,planet,hypernyms 
glass,crystal,indirect_hyponyms 
winter,season,hypernyms 
home,state,indirect_hypernyms 
business,industry,hyponyms 
large,huge,similar_tos 
child,boy,indirect_hyponyms 
plane,airport,None 
mouse,cat,None 
man,child,hyponyms 
school,law,None 
communication,language,hyponyms 
boy,son,identity 
book,literature,None 
book,story,co_hyponyms 
god,spirit,co_hyponyms 
game,action,hypernyms 
absence,presence,antonyms 
belief,concept,co_hyponyms 
college,class,None 
snow,weather,indirect_hypernyms 
go,come,synonyms 
leave,remain,None 
disc,computer,None 
wife,husband,antonyms 
president,mayor,None 
intelligence,logic,None 
machine,engine,indirect_hyponyms 
right,justice,hypernyms 
vehicle,bus,indirect_hyponyms 
get,put,synonyms 
politician,president,None 
make,become,synonyms 
alcohol,wine,hyponyms 
medium,news,None 
night,day,part_holonyms 
money,capital,None 
sun,sky,None 
boy,brother,None 
girl,child,hyponyms 
king,princess,co_member_meronyms 
card,bridge,None 
argument,criticism,None 
woman,wife,hyponyms 
club,society,identity 
essential,necessary,identity 
difficult,simple,None 
house,key,co_hyponyms 
biography,fiction,None 
idea,image,indirect_hyponyms 
hard,simple,None 
take,leave,synonyms 
necessary,important,None 
area,zone,co_hyponyms 
simple,easy,also_sees 
keep,protect,hypernyms 
hard,easy,antonyms 
take,carry,identity 
arm,body,part_holonyms 
student,professor,None 
baby,daughter,hypernyms 
add,build,hypernyms 
motor,engine,hyponyms 
winner,candidate,co_hyponyms 
tax,income,None 
large,big,identity 
formal,proper,None 
want,choose,co_hyponyms 
receive,give,synonyms 
hand,foot,indirect_hypernyms 
become,appear,None 
top,side,hypernyms 
go,allow,hypernyms 
join,add,synonyms 
take,receive,synonyms 
give,put,synonyms 
street,car,None 
big,heavy,identity 
chief,mayor,None 
code,symbol,None 
molecule,air,None 
book,essay,None 
car,bridge,None 
champion,winner,None 
leader,manager,indirect_hyponyms 
god,priest,None 
princess,island,None 
august,month,indirect_hypernyms 
leave,appear,indirect_hyponyms 
room,cell,hyponyms 
long,narrow,None 
child,adult,co_hyponyms 
way,manner,identity 
apparent,obvious,similar_tos 
date,calendar,None 
carry,bring,synonyms 
mouse,management,None 
friend,teacher,None 
recent,new,similar_tos 
lose,get,synonyms 
foot,head,indirect_part_meronyms 
activity,movement,hyponyms 
explain,prove,co_hyponyms 
boat,car,hyponyms 
leave,go,synonyms 
value,belief,None 
driver,pilot,None 
go,enter,hyponyms 
job,management,None 
beer,alcohol,indirect_hypernyms 
tower,bell,None 
song,story,None 
dollar,people,None 
communication,television,indirect_hyponyms 
condition,boy,None 
brother,soul,indirect_hypernyms 
situation,condition,hypernyms 
wide,narrow,antonyms 
begin,go,synonyms 
animal,person,co_hyponyms 
come,bring,synonyms 
hole,wife,None 
door,gate,co_hyponyms 
style,fashion,identity 
beach,sea,None 
discussion,argument,hyponyms 
go,send,indirect_hyponyms 
wood,paper,None 
rice,boy,None 
word,newspaper,None 
article,journal,None 
leave,enter,co_hyponyms 
task,job,identity 
people,gun,None 
reality,fantasy,None 
second,minute,identity 
doctor,professor,None 
bring,send,hypernyms 
battle,conquest,None 
idea,scheme,indirect_hyponyms 
sky,universe,part_holonyms 
action,course,hyponyms 
fast,rapid,similar_tos 
money,diamond,None 
get,remain,None 
proof,fact,None 
send,receive,co_hyponyms 
day,morning,part_meronyms 
motor,boat,None 
belief,opinion,identity 
agree,argue,None 
bottom,side,hypernyms 
newspaper,information,None 
strength,might,hypernyms 
lose,keep,antonyms 
car,highway,None 
author,creator,indirect_hypernyms 
book,theme,co_hyponyms 
couple,pair,identity 
become,seem,None 
plate,bowl,co_hyponyms 
try,think,indirect_hypernyms 
intelligence,skill,co_hyponyms 
bird,turkey,indirect_hyponyms 
achieve,try,indirect_hyponyms 
big,broad,synonyms 
take,obtain,synonyms 
easy,big,None 
boy,partner,None 
save,protect,None 
man,husband,None 
woman,secretary,None 
argument,agreement,None 
argue,prove,None 
wealth,fame,None 
door,floor,co_hyponyms 
bad,great,synonyms 
night,chapter,None 
camera,president,None 
opinion,idea,synonyms 
destruction,construction,None 
attention,interest,None 
presence,door,None 
bell,door,None 
winner,goal,None 
adult,baby,indirect_hyponyms 
decade,century,part_holonyms 
hole,agreement,None 
journey,conquest,None 
opinion,choice,None 
island,task,None 
era,decade,co_hyponyms 
boy,soldier,None 
agree,differ,antonyms 
chapter,choice,None 
argue,differ,entailments 
task,woman,None 
winner,presence,None 
task,highway,None 
wealth,poverty,antonyms 
effort,difficulty,hyponyms 
