actress,actor,hypernyms 
actor,singer,None 
son,father,None 
south,north,antonyms 
brother,son,None 
area,region,identity 
composer,writer,None 
father,brother,None 
winter,summer,co_hyponyms 
mother,wife,None 
movie,film,identity 
father,daughter,None 
molecule,atom,identity 
river,valley,None 
north,west,indirect_part_holonyms 
basketball,baseball,co_hyponyms 
population,people,hypernyms 
boundary,border,synonyms 
father,god,None 
word,dictionary,None 
woman,man,antonyms 
prince,king,co_member_meronyms 
sea,ocean,identity 
river,sea,None 
atom,carbon,None 
bottom,top,antonyms 
easy,difficult,antonyms 
water,ice,substance_holonyms 
book,bible,identity 
science,psychology,hyponyms 
logic,arithmetic,None 
mouse,cat,None 
understand,know,hyponyms 
people,party,None 
know,believe,hypernyms 
modern,ancient,co_hyponyms 
short,long,antonyms 
formula,equation,co_hyponyms 
dog,cat,None 
new,ancient,None 
navy,army,co_hyponyms 
moon,planet,hypernyms 
create,make,identity 
god,spirit,co_hyponyms 
absence,presence,antonyms 
corporation,business,indirect_hypernyms 
word,page,None 
dictionary,definition,None 
school,law,None 
book,information,indirect_hypernyms 
home,state,indirect_hypernyms 
book,article,co_hyponyms 
business,company,None 
boy,son,identity 
different,normal,None 
old,new,antonyms 
book,story,co_hyponyms 
winner,candidate,co_hyponyms 
dog,horse,None 
chemistry,theory,None 
business,industry,hyponyms 
word,literature,None 
keep,give,synonyms 
narrow,broad,antonyms 
beach,island,None 
go,come,synonyms 
intelligence,logic,None 
book,text,hyponyms 
glass,crystal,indirect_hyponyms 
accept,believe,hyponyms 
give,allow,synonyms 
book,literature,None 
water,salt,co_hyponyms 
create,build,synonyms 
want,choose,co_hyponyms 
game,action,hypernyms 
night,day,part_holonyms 
book,essay,None 
medium,news,None 
phrase,word,identity 
plane,airport,None 
large,huge,similar_tos 
vehicle,bus,indirect_hyponyms 
disc,computer,None 
hard,difficult,identity 
college,class,None 
door,gate,co_hyponyms 
administration,management,hypernyms 
wife,husband,antonyms 
child,boy,indirect_hyponyms 
man,father,co_hyponyms 
mouse,management,None 
sun,sky,None 
bring,send,hypernyms 
area,zone,co_hyponyms 
motor,engine,hyponyms 
communication,language,hyponyms 
boy,brother,None 
date,calendar,None 
biography,fiction,None 
politician,president,None 
alcohol,wine,hyponyms 
idea,image,indirect_hyponyms 
make,become,synonyms 
man,child,hyponyms 
song,story,None 
activity,movement,hyponyms 
house,key,co_hyponyms 
machine,engine,indirect_hyponyms 
winter,season,hypernyms 
argument,criticism,None 
belief,concept,co_hyponyms 
club,society,identity 
essential,necessary,identity 
woman,wife,hyponyms 
give,know,indirect_hypernyms 
tax,income,None 
go,allow,hypernyms 
champion,winner,None 
king,princess,co_member_meronyms 
large,big,identity 
keep,protect,hypernyms 
carry,bring,synonyms 
chief,mayor,None 
hard,simple,None 
come,bring,synonyms 
condition,boy,None 
snow,weather,indirect_hypernyms 
president,mayor,None 
hard,easy,antonyms 
friend,mother,None 
code,symbol,None 
dollar,people,None 
fast,rapid,similar_tos 
right,justice,hypernyms 
foot,head,indirect_part_meronyms 
child,adult,co_hyponyms 
go,send,indirect_hyponyms 
value,belief,None 
take,carry,identity 
discussion,argument,hyponyms 
top,side,hypernyms 
add,build,hypernyms 
go,enter,hyponyms 
people,gun,None 
arm,body,part_holonyms 
way,manner,identity 
august,month,indirect_hypernyms 
join,add,synonyms 
princess,island,None 
receive,give,synonyms 
card,bridge,None 
day,morning,part_meronyms 
baby,daughter,hypernyms 
beer,alcohol,indirect_hypernyms 
beach,sea,None 
money,capital,None 
hand,foot,indirect_hypernyms 
leader,manager,indirect_hyponyms 
job,management,None 
necessary,important,None 
get,put,synonyms 
word,newspaper,None 
wide,narrow,antonyms 
difficult,simple,None 
article,journal,None 
achieve,try,indirect_hyponyms 
proof,fact,None 
send,receive,co_hyponyms 
take,receive,synonyms 
communication,television,indirect_hyponyms 
leave,go,synonyms 
sky,universe,part_holonyms 
molecule,air,None 
situation,condition,hypernyms 
begin,go,synonyms 
