actress,actor,hypernyms 
actor,singer,None 
son,father,None 
movie,film,identity 
composer,writer,None 
brother,son,None 
south,north,antonyms 
father,brother,None 
area,region,identity 
mother,wife,None 
father,daughter,None 
winter,summer,co_hyponyms 
population,people,hypernyms 
north,west,indirect_part_holonyms 
basketball,baseball,co_hyponyms 
river,valley,None 
woman,man,antonyms 
molecule,atom,identity 
understand,know,hyponyms 
father,god,None 
atom,carbon,None 
prince,king,co_member_meronyms 
give,allow,synonyms 
formula,equation,co_hyponyms 
logic,arithmetic,None 
boundary,border,synonyms 
river,sea,None 
dog,cat,None 
water,ice,substance_holonyms 
chemistry,theory,None 
sea,ocean,identity 
know,believe,hypernyms 
new,ancient,None 
people,party,None 
book,bible,identity 
word,page,None 
modern,ancient,co_hyponyms 
word,dictionary,None 
navy,army,co_hyponyms 
corporation,business,indirect_hypernyms 
god,spirit,co_hyponyms 
create,make,identity 
book,text,hyponyms 
science,psychology,hyponyms 
create,build,synonyms 
moon,planet,hypernyms 
book,literature,None 
phrase,word,identity 
old,new,antonyms 
book,article,co_hyponyms 
accept,believe,hyponyms 
easy,difficult,antonyms 
dictionary,definition,None 
beach,island,None 
short,long,antonyms 
different,normal,None 
bottom,top,antonyms 
book,information,indirect_hypernyms 
word,literature,None 
narrow,broad,antonyms 
business,company,None 
home,state,indirect_hypernyms 
wife,husband,antonyms 
business,industry,hyponyms 
dog,horse,None 
tax,income,None 
medium,news,None 
glass,crystal,indirect_hyponyms 
disc,computer,None 
intelligence,logic,None 
money,capital,None 
book,story,co_hyponyms 
administration,management,hypernyms 
man,father,co_hyponyms 
belief,concept,co_hyponyms 
king,princess,co_member_meronyms 
man,child,hyponyms 
idea,image,indirect_hyponyms 
give,know,indirect_hypernyms 
large,huge,similar_tos 
keep,give,synonyms 
politician,president,None 
night,day,part_holonyms 
water,salt,co_hyponyms 
game,action,hypernyms 
boy,son,identity 
child,boy,indirect_hyponyms 
college,class,None 
mouse,cat,None 
school,law,None 
make,become,synonyms 
winter,season,hypernyms 
boy,brother,None 
difficult,simple,None 
top,side,hypernyms 
essential,necessary,identity 
go,come,synonyms 
mouse,management,None 
club,society,identity 
go,enter,hyponyms 
card,bridge,None 
friend,mother,None 
large,big,identity 
biography,fiction,None 
hard,difficult,identity 
hard,simple,None 
leave,enter,co_hyponyms 
communication,language,hyponyms 
woman,wife,hyponyms 
alcohol,wine,hyponyms 
job,management,None 
machine,engine,indirect_hyponyms 
want,choose,co_hyponyms 
princess,island,None 
right,justice,hypernyms 
song,story,None 
door,gate,co_hyponyms 
president,mayor,None 
receive,give,synonyms 
beer,alcohol,indirect_hypernyms 
plane,airport,None 
necessary,important,None 
sun,sky,None 
winner,candidate,co_hyponyms 
snow,weather,indirect_hypernyms 
take,carry,identity 
area,zone,co_hyponyms 
idea,scheme,indirect_hyponyms 
tower,bell,None 
go,allow,hypernyms 
argument,criticism,None 
hard,easy,antonyms 
value,belief,None 
article,journal,None 
become,appear,None 
book,essay,None 
leave,go,synonyms 
vehicle,bus,indirect_hyponyms 
dollar,people,None 
baby,daughter,hypernyms 
champion,winner,None 
take,leave,synonyms 
wood,paper,None 
molecule,air,None 
absence,presence,antonyms 
arm,body,part_holonyms 
keep,protect,hypernyms 
recent,new,similar_tos 
add,build,hypernyms 
way,manner,identity 
big,heavy,identity 
house,key,co_hyponyms 
leader,manager,indirect_hyponyms 
hand,foot,indirect_hypernyms 
simple,easy,also_sees 
take,receive,synonyms 
motor,engine,hyponyms 
activity,movement,hyponyms 
formal,proper,None 
give,put,synonyms 
child,adult,co_hyponyms 
get,put,synonyms 
proof,fact,None 
code,symbol,None 
people,gun,None 
book,theme,co_hyponyms 
beach,sea,None 
foot,head,indirect_part_meronyms 
carry,bring,synonyms 
agree,argue,None 
fast,rapid,similar_tos 
belief,opinion,identity 
come,bring,synonyms 
discussion,argument,hyponyms 
car,bridge,None 
date,calendar,None 
leave,remain,None 
apparent,obvious,similar_tos 
