actress,actor,hypernyms 
actor,singer,None 
son,father,None 
south,north,antonyms 
composer,writer,None 
area,region,identity 
movie,film,identity 
basketball,baseball,co_hyponyms 
father,brother,None 
brother,son,None 
molecule,atom,identity 
winter,summer,co_hyponyms 
mother,wife,None 
north,west,indirect_part_holonyms 
father,daughter,None 
father,god,None 
dog,cat,None 
word,dictionary,None 
formula,equation,co_hyponyms 
understand,know,hyponyms 
science,psychology,hyponyms 
population,people,hypernyms 
woman,man,antonyms 
river,sea,None 
word,page,None 
old,new,antonyms 
atom,carbon,None 
river,valley,None 
know,believe,hypernyms 
logic,arithmetic,None 
god,spirit,co_hyponyms 
people,party,None 
prince,king,co_member_meronyms 
modern,ancient,co_hyponyms 
book,bible,identity 
navy,army,co_hyponyms 
bottom,top,antonyms 
new,ancient,None 
boundary,border,synonyms 
create,make,identity 
easy,difficult,antonyms 
book,article,co_hyponyms 
create,build,synonyms 
water,ice,substance_holonyms 
corporation,business,indirect_hypernyms 
sea,ocean,identity 
short,long,antonyms 
different,normal,None 
tax,income,None 
medium,news,None 
keep,give,synonyms 
give,allow,synonyms 
book,information,indirect_hypernyms 
beach,island,None 
home,state,indirect_hypernyms 
administration,management,hypernyms 
book,text,hyponyms 
narrow,broad,antonyms 
wife,husband,antonyms 
school,law,None 
go,come,synonyms 
moon,planet,hypernyms 
business,industry,hyponyms 
dog,horse,None 
winner,candidate,co_hyponyms 
plane,airport,None 
large,huge,similar_tos 
belief,concept,co_hyponyms 
book,literature,None 
accept,believe,hyponyms 
man,father,co_hyponyms 
child,boy,indirect_hyponyms 
machine,engine,indirect_hyponyms 
word,literature,None 
boy,brother,None 
dictionary,definition,None 
business,company,None 
book,story,co_hyponyms 
intelligence,logic,None 
boy,son,identity 
chemistry,theory,None 
president,mayor,None 
woman,wife,hyponyms 
mouse,management,None 
friend,mother,None 
hard,simple,None 
college,class,None 
night,day,part_holonyms 
politician,president,None 
communication,language,hyponyms 
disc,computer,None 
right,justice,hypernyms 
glass,crystal,indirect_hyponyms 
game,action,hypernyms 
snow,weather,indirect_hypernyms 
simple,easy,also_sees 
money,capital,None 
man,child,hyponyms 
alcohol,wine,hyponyms 
essential,necessary,identity 
go,allow,hypernyms 
door,gate,co_hyponyms 
card,bridge,None 
hard,difficult,identity 
leave,go,synonyms 
large,big,identity 
winter,season,hypernyms 
give,know,indirect_hypernyms 
idea,image,indirect_hyponyms 
club,society,identity 
car,bridge,None 
get,put,synonyms 
receive,give,synonyms 
house,key,co_hyponyms 
beer,alcohol,indirect_hypernyms 
argument,criticism,None 
difficult,simple,None 
add,build,hypernyms 
vehicle,bus,indirect_hyponyms 
go,enter,hyponyms 
hard,easy,antonyms 
child,adult,co_hyponyms 
make,become,synonyms 
motor,engine,hyponyms 
mouse,cat,None 
keep,protect,hypernyms 
song,story,None 
wide,narrow,antonyms 
book,essay,None 
want,choose,co_hyponyms 
take,leave,synonyms 
street,car,None 
biography,fiction,None 
water,salt,co_hyponyms 
discussion,argument,hyponyms 
carry,bring,synonyms 
area,zone,co_hyponyms 
wood,paper,None 
take,carry,identity 
arm,body,part_holonyms 
hand,foot,indirect_hypernyms 
girl,child,hyponyms 
come,bring,synonyms 
phrase,word,identity 
join,add,synonyms 
condition,boy,None 
bring,send,hypernyms 
code,symbol,None 
take,receive,synonyms 
necessary,important,None 
money,diamond,None 
chief,mayor,None 
champion,winner,None 
become,appear,None 
top,side,hypernyms 
explain,prove,co_hyponyms 
word,newspaper,None 
job,management,None 
leave,enter,co_hyponyms 
baby,daughter,hypernyms 
value,belief,None 
activity,movement,hyponyms 
proof,fact,None 
king,princess,co_member_meronyms 
argument,agreement,None 
begin,go,synonyms 
way,manner,identity 
fast,rapid,similar_tos 
august,month,indirect_hypernyms 
people,gun,None 
action,course,hyponyms 
princess,island,None 
student,professor,None 
tower,bell,None 
animal,person,co_hyponyms 
absence,presence,antonyms 
leave,remain,None 
leader,manager,indirect_hyponyms 
