actress,actor,hypernyms 
actor,singer,None 
south,north,antonyms 
composer,writer,None 
son,father,None 
winter,summer,co_hyponyms 
area,region,identity 
brother,son,None 
movie,film,identity 
mother,wife,None 
north,west,indirect_part_holonyms 
father,brother,None 
molecule,atom,identity 
river,valley,None 
father,daughter,None 
atom,carbon,None 
prince,king,co_member_meronyms 
basketball,baseball,co_hyponyms 
boundary,border,synonyms 
population,people,hypernyms 
understand,know,hyponyms 
woman,man,antonyms 
dog,cat,None 
logic,arithmetic,None 
river,sea,None 
modern,ancient,co_hyponyms 
father,god,None 
short,long,antonyms 
people,party,None 
science,psychology,hyponyms 
god,spirit,co_hyponyms 
sea,ocean,identity 
old,new,antonyms 
know,believe,hypernyms 
corporation,business,indirect_hypernyms 
create,make,identity 
book,bible,identity 
water,ice,substance_holonyms 
administration,management,hypernyms 
moon,planet,hypernyms 
give,allow,synonyms 
word,dictionary,None 
dictionary,definition,None 
formula,equation,co_hyponyms 
dog,horse,None 
new,ancient,None 
navy,army,co_hyponyms 
business,company,None 
book,text,hyponyms 
word,page,None 
bottom,top,antonyms 
book,article,co_hyponyms 
chemistry,theory,None 
beach,island,None 
man,child,hyponyms 
friend,mother,None 
create,build,synonyms 
accept,believe,hyponyms 
home,state,indirect_hypernyms 
book,information,indirect_hypernyms 
different,normal,None 
wife,husband,antonyms 
business,industry,hyponyms 
baby,daughter,hypernyms 
belief,concept,co_hyponyms 
medium,news,None 
politician,president,None 
snow,weather,indirect_hypernyms 
biography,fiction,None 
glass,crystal,indirect_hyponyms 
word,literature,None 
king,princess,co_member_meronyms 
motor,engine,hyponyms 
book,story,co_hyponyms 
book,literature,None 
narrow,broad,antonyms 
phrase,word,identity 
area,zone,co_hyponyms 
boy,son,identity 
go,come,synonyms 
school,law,None 
tax,income,None 
game,action,hypernyms 
club,society,identity 
disc,computer,None 
easy,difficult,antonyms 
want,choose,co_hyponyms 
vehicle,bus,indirect_hyponyms 
man,father,co_hyponyms 
intelligence,logic,None 
large,big,identity 
boy,brother,None 
keep,give,synonyms 
woman,wife,hyponyms 
child,boy,indirect_hyponyms 
winter,season,hypernyms 
mouse,cat,None 
house,key,co_hyponyms 
night,day,part_holonyms 
large,huge,similar_tos 
girl,child,hyponyms 
child,adult,co_hyponyms 
machine,engine,indirect_hyponyms 
make,become,synonyms 
essential,necessary,identity 
alcohol,wine,hyponyms 
absence,presence,antonyms 
communication,language,hyponyms 
water,salt,co_hyponyms 
give,know,indirect_hypernyms 
necessary,important,None 
keep,protect,hypernyms 
money,capital,None 
hard,difficult,identity 
door,gate,co_hyponyms 
get,put,synonyms 
join,add,synonyms 
go,allow,hypernyms 
mouse,management,None 
value,belief,None 
champion,winner,None 
august,month,indirect_hypernyms 
molecule,air,None 
idea,image,indirect_hyponyms 
card,bridge,None 
bring,send,hypernyms 
right,justice,hypernyms 
difficult,simple,None 
come,bring,synonyms 
activity,movement,hyponyms 
college,class,None 
hard,simple,None 
princess,island,None 
go,enter,hyponyms 
wide,narrow,antonyms 
reality,fantasy,None 
formal,proper,None 
president,mayor,None 
argument,criticism,None 
take,leave,synonyms 
receive,give,synonyms 
street,car,None 
fast,rapid,similar_tos 
car,bridge,None 
take,carry,identity 
hard,easy,antonyms 
recent,new,similar_tos 
leader,manager,indirect_hyponyms 
add,build,hypernyms 
top,side,hypernyms 
plane,airport,None 
go,send,indirect_hyponyms 
take,receive,synonyms 
arm,body,part_holonyms 
motor,boat,None 
big,heavy,identity 
job,management,None 
proof,fact,None 
beach,sea,None 
winner,candidate,co_hyponyms 
hand,foot,indirect_hypernyms 
carry,bring,synonyms 
beer,alcohol,indirect_hypernyms 
apparent,obvious,similar_tos 
tower,bell,None 
become,appear,None 
word,newspaper,None 
simple,easy,also_sees 
sun,sky,None 
song,story,None 
leave,remain,None 
way,manner,identity 
save,protect,None 
give,put,synonyms 
animal,person,co_hyponyms 
driver,pilot,None 
wood,paper,None 
leave,go,synonyms 
article,journal,None 
chief,mayor,None 
book,essay,None 
god,priest,None 
friend,teacher,None 
foot,head,indirect_part_meronyms 
date,calendar,None 
discussion,argument,hyponyms 
dollar,people,None 
leave,enter,co_hyponyms 
explain,prove,co_hyponyms 
communication,television,indirect_hyponyms 
send,receive,co_hyponyms 
book,theme,co_hyponyms 
brother,soul,indirect_hypernyms 
people,gun,None 
code,symbol,None 
argument,agreement,None 
author,creator,indirect_hypernyms 
intelligence,skill,co_hyponyms 
student,professor,None 
day,morning,part_meronyms 
door,floor,co_hyponyms 
condition,boy,None 
boat,car,hyponyms 
money,diamond,None 
action,course,hyponyms 
take,obtain,synonyms 
second,minute,identity 
long,narrow,None 
agree,argue,None 
woman,secretary,None 
situation,condition,hypernyms 
adult,baby,indirect_hyponyms 
couple,pair,identity 
begin,go,synonyms 
get,remain,None 
man,husband,None 
lose,get,synonyms 
style,fashion,identity 
newspaper,information,None 
try,think,indirect_hypernyms 
battle,conquest,None 
room,cell,hyponyms 
bottom,side,hypernyms 
plate,bowl,co_hyponyms 
destruction,construction,None 
doctor,professor,None 
car,highway,None 
argue,prove,None 
rice,boy,None 
idea,scheme,indirect_hyponyms 
strength,might,hypernyms 
wealth,fame,None 
attention,interest,None 
leave,appear,indirect_hyponyms 
achieve,try,indirect_hyponyms 
hole,wife,None 
sky,universe,part_holonyms 
winner,goal,None 
camera,president,None 
bell,door,None 
bad,great,synonyms 
lose,keep,antonyms 
task,job,identity 
become,seem,None 
boy,soldier,None 
night,chapter,None 
bird,turkey,indirect_hyponyms 
belief,opinion,identity 
presence,door,None 
big,broad,synonyms 
decade,century,part_holonyms 
opinion,choice,None 
easy,big,None 
boy,partner,None 
hole,agreement,None 
island,task,None 
journey,conquest,None 
opinion,idea,synonyms 
era,decade,co_hyponyms 
wealth,poverty,antonyms 
winner,presence,None 
chapter,choice,None 
argue,differ,entailments 
task,woman,None 
agree,differ,antonyms 
task,highway,None 
effort,difficulty,hyponyms 
