actress,actor,hypernyms 
actor,singer,None 
son,father,None 
composer,writer,None 
south,north,antonyms 
movie,film,identity 
area,region,identity 
winter,summer,co_hyponyms 
brother,son,None 
father,brother,None 
molecule,atom,identity 
river,valley,None 
mother,wife,None 
father,daughter,None 
north,west,indirect_part_holonyms 
basketball,baseball,co_hyponyms 
prince,king,co_member_meronyms 
woman,man,antonyms 
boundary,border,synonyms 
understand,know,hyponyms 
father,god,None 
population,people,hypernyms 
atom,carbon,None 
river,sea,None 
word,dictionary,None 
water,ice,substance_holonyms 
modern,ancient,co_hyponyms 
dog,cat,None 
logic,arithmetic,None 
people,party,None 
create,make,identity 
short,long,antonyms 
science,psychology,hyponyms 
old,new,antonyms 
sea,ocean,identity 
navy,army,co_hyponyms 
god,spirit,co_hyponyms 
corporation,business,indirect_hypernyms 
word,page,None 
dog,horse,None 
book,article,co_hyponyms 
bottom,top,antonyms 
new,ancient,None 
book,bible,identity 
mouse,cat,None 
moon,planet,hypernyms 
school,law,None 
formula,equation,co_hyponyms 
dictionary,definition,None 
administration,management,hypernyms 
business,company,None 
know,believe,hypernyms 
chemistry,theory,None 
easy,difficult,antonyms 
book,story,co_hyponyms 
medium,news,None 
wife,husband,antonyms 
mouse,management,None 
man,father,co_hyponyms 
book,information,indirect_hypernyms 
accept,believe,hyponyms 
home,state,indirect_hypernyms 
go,enter,hyponyms 
different,normal,None 
sun,sky,None 
book,literature,None 
create,build,synonyms 
child,boy,indirect_hyponyms 
girl,child,hyponyms 
hard,difficult,identity 
get,put,synonyms 
intelligence,logic,None 
belief,concept,co_hyponyms 
glass,crystal,indirect_hyponyms 
business,industry,hyponyms 
door,gate,co_hyponyms 
give,allow,synonyms 
politician,president,None 
boy,brother,None 
right,justice,hypernyms 
communication,language,hyponyms 
night,day,part_holonyms 
game,action,hypernyms 
snow,weather,indirect_hypernyms 
man,child,hyponyms 
boy,son,identity 
go,come,synonyms 
large,huge,similar_tos 
college,class,None 
beach,island,None 
book,text,hyponyms 
word,literature,None 
phrase,word,identity 
date,calendar,None 
area,zone,co_hyponyms 
motor,engine,hyponyms 
add,build,hypernyms 
president,mayor,None 
disc,computer,None 
friend,mother,None 
narrow,broad,antonyms 
top,side,hypernyms 
tax,income,None 
leave,enter,co_hyponyms 
lose,get,synonyms 
arm,body,part_holonyms 
give,know,indirect_hypernyms 
large,big,identity 
house,key,co_hyponyms 
want,choose,co_hyponyms 
value,belief,None 
join,add,synonyms 
winner,candidate,co_hyponyms 
discussion,argument,hyponyms 
club,society,identity 
go,allow,hypernyms 
hand,foot,indirect_hypernyms 
water,salt,co_hyponyms 
winter,season,hypernyms 
money,capital,None 
keep,give,synonyms 
machine,engine,indirect_hyponyms 
king,princess,co_member_meronyms 
fast,rapid,similar_tos 
job,management,None 
song,story,None 
absence,presence,antonyms 
take,receive,synonyms 
code,symbol,None 
style,fashion,identity 
leader,manager,indirect_hyponyms 
woman,wife,hyponyms 
make,become,synonyms 
biography,fiction,None 
idea,image,indirect_hyponyms 
take,leave,synonyms 
receive,give,synonyms 
baby,daughter,hypernyms 
send,receive,co_hyponyms 
leave,remain,None 
chief,mayor,None 
plane,airport,None 
activity,movement,hyponyms 
vehicle,bus,indirect_hyponyms 
hard,easy,antonyms 
essential,necessary,identity 
bring,send,hypernyms 
leave,go,synonyms 
beer,alcohol,indirect_hypernyms 
beach,sea,None 
agree,argue,None 
take,carry,identity 
alcohol,wine,hyponyms 
give,put,synonyms 
molecule,air,None 
card,bridge,None 
hard,simple,None 
dollar,people,None 
go,send,indirect_hyponyms 
child,adult,co_hyponyms 
street,car,None 
foot,head,indirect_part_meronyms 
way,manner,identity 
necessary,important,None 
idea,scheme,indirect_hyponyms 
argument,criticism,None 
car,bridge,None 
formal,proper,None 
difficult,simple,None 
word,newspaper,None 
explain,prove,co_hyponyms 
hole,wife,None 
wide,narrow,antonyms 
come,bring,synonyms 
action,course,hyponyms 
keep,protect,hypernyms 
