actress,actor,hypernyms 
actor,singer,None 
son,father,None 
composer,writer,None 
south,north,antonyms 
brother,son,None 
movie,film,identity 
area,region,identity 
father,brother,None 
winter,summer,co_hyponyms 
father,daughter,None 
mother,wife,None 
molecule,atom,identity 
basketball,baseball,co_hyponyms 
north,west,indirect_part_holonyms 
boundary,border,synonyms 
father,god,None 
understand,know,hyponyms 
river,valley,None 
prince,king,co_member_meronyms 
population,people,hypernyms 
woman,man,antonyms 
river,sea,None 
dog,cat,None 
bottom,top,antonyms 
word,dictionary,None 
atom,carbon,None 
word,page,None 
short,long,antonyms 
sea,ocean,identity 
modern,ancient,co_hyponyms 
create,make,identity 
corporation,business,indirect_hypernyms 
logic,arithmetic,None 
water,ice,substance_holonyms 
god,spirit,co_hyponyms 
home,state,indirect_hypernyms 
old,new,antonyms 
science,psychology,hyponyms 
know,believe,hypernyms 
formula,equation,co_hyponyms 
business,company,None 
easy,difficult,antonyms 
people,party,None 
accept,believe,hyponyms 
beach,island,None 
chemistry,theory,None 
new,ancient,None 
dog,horse,None 
man,father,co_hyponyms 
navy,army,co_hyponyms 
different,normal,None 
book,article,co_hyponyms 
dictionary,definition,None 
boy,son,identity 
create,build,synonyms 
book,bible,identity 
give,allow,synonyms 
book,information,indirect_hypernyms 
administration,management,hypernyms 
door,gate,co_hyponyms 
business,industry,hyponyms 
book,text,hyponyms 
school,law,None 
narrow,broad,antonyms 
intelligence,logic,None 
moon,planet,hypernyms 
snow,weather,indirect_hypernyms 
child,boy,indirect_hyponyms 
man,child,hyponyms 
right,justice,hypernyms 
phrase,word,identity 
vehicle,bus,indirect_hyponyms 
go,come,synonyms 
idea,image,indirect_hyponyms 
book,story,co_hyponyms 
water,salt,co_hyponyms 
medium,news,None 
essential,necessary,identity 
bring,send,hypernyms 
disc,computer,None 
motor,engine,hyponyms 
college,class,None 
give,know,indirect_hypernyms 
hard,difficult,identity 
keep,give,synonyms 
wife,husband,antonyms 
friend,mother,None 
arm,body,part_holonyms 
word,literature,None 
house,key,co_hyponyms 
plane,airport,None 
belief,concept,co_hyponyms 
book,literature,None 
night,day,part_holonyms 
go,enter,hyponyms 
mouse,management,None 
communication,language,hyponyms 
keep,protect,hypernyms 
game,action,hypernyms 
tax,income,None 
receive,give,synonyms 
politician,president,None 
machine,engine,indirect_hyponyms 
car,bridge,None 
street,car,None 
hard,simple,None 
area,zone,co_hyponyms 
large,huge,similar_tos 
club,society,identity 
winter,season,hypernyms 
boy,brother,None 
mouse,cat,None 
leave,go,synonyms 
formal,proper,None 
hard,easy,antonyms 
card,bridge,None 
glass,crystal,indirect_hyponyms 
activity,movement,hyponyms 
champion,winner,None 
money,capital,None 
job,management,None 
make,become,synonyms 
get,put,synonyms 
august,month,indirect_hypernyms 
discussion,argument,hyponyms 
carry,bring,synonyms 
president,mayor,None 
alcohol,wine,hyponyms 
beach,sea,None 
leave,remain,None 
biography,fiction,None 
friend,teacher,None 
lose,get,synonyms 
take,carry,identity 
sun,sky,None 
send,receive,co_hyponyms 
give,put,synonyms 
value,belief,None 
wide,narrow,antonyms 
go,allow,hypernyms 
argument,criticism,None 
go,send,indirect_hyponyms 
absence,presence,antonyms 
child,adult,co_hyponyms 
agree,argue,None 
leave,enter,co_hyponyms 
code,symbol,None 
beer,alcohol,indirect_hypernyms 
large,big,identity 
take,receive,synonyms 
add,build,hypernyms 
necessary,important,None 
word,newspaper,None 
want,choose,co_hyponyms 
tower,bell,None 
wood,paper,None 
top,side,hypernyms 
hand,foot,indirect_hypernyms 
fast,rapid,similar_tos 
king,princess,co_member_meronyms 
princess,island,None 
woman,wife,hyponyms 
come,bring,synonyms 
way,manner,identity 
people,gun,None 
take,leave,synonyms 
student,professor,None 
girl,child,hyponyms 
difficult,simple,None 
explain,prove,co_hyponyms 
book,essay,None 
get,remain,None 
reality,fantasy,None 
date,calendar,None 
action,course,hyponyms 
leader,manager,indirect_hyponyms 
simple,easy,also_sees 
