actress,actor,hypernyms 
actor,singer,None 
composer,writer,None 
south,north,antonyms 
son,father,None 
winter,summer,co_hyponyms 
movie,film,identity 
mother,wife,None 
brother,son,None 
basketball,baseball,co_hyponyms 
understand,know,hyponyms 
dog,cat,None 
north,west,indirect_part_holonyms 
river,valley,None 
molecule,atom,identity 
area,region,identity 
father,daughter,None 
father,brother,None 
boundary,border,synonyms 
prince,king,co_member_meronyms 
phrase,word,identity 
create,make,identity 
know,believe,hypernyms 
easy,difficult,antonyms 
formula,equation,co_hyponyms 
father,god,None 
logic,arithmetic,None 
accept,believe,hyponyms 
modern,ancient,co_hyponyms 
create,build,synonyms 
administration,management,hypernyms 
large,huge,similar_tos 
navy,army,co_hyponyms 
god,spirit,co_hyponyms 
want,choose,co_hyponyms 
population,people,hypernyms 
hard,difficult,identity 
give,allow,synonyms 
science,psychology,hyponyms 
atom,carbon,None 
word,dictionary,None 
woman,man,antonyms 
wife,husband,antonyms 
friend,mother,None 
river,sea,None 
old,new,antonyms 
sea,ocean,identity 
dog,horse,None 
keep,give,synonyms 
moon,planet,hypernyms 
give,know,indirect_hypernyms 
narrow,broad,antonyms 
bottom,top,antonyms 
belief,concept,co_hyponyms 
go,come,synonyms 
short,long,antonyms 
water,ice,substance_holonyms 
new,ancient,None 
chemistry,theory,None 
book,bible,identity 
book,article,co_hyponyms 
receive,give,synonyms 
leave,enter,co_hyponyms 
winter,season,hypernyms 
add,build,hypernyms 
make,become,synonyms 
book,story,co_hyponyms 
hard,easy,antonyms 
book,text,hyponyms 
get,put,synonyms 
politician,president,None 
people,party,None 
beach,island,None 
argument,criticism,None 
formal,proper,None 
corporation,business,indirect_hypernyms 
boy,son,identity 
president,mayor,None 
dictionary,definition,None 
mouse,cat,None 
book,literature,None 
word,page,None 
different,normal,None 
business,company,None 
night,day,part_holonyms 
machine,engine,indirect_hyponyms 
word,literature,None 
apparent,obvious,similar_tos 
recent,new,similar_tos 
business,industry,hyponyms 
boy,brother,None 
water,salt,co_hyponyms 
wood,paper,None 
bring,send,hypernyms 
woman,wife,hyponyms 
carry,bring,synonyms 
job,management,None 
become,appear,None 
leave,remain,None 
leave,go,synonyms 
disc,computer,None 
take,receive,synonyms 
intelligence,logic,None 
go,enter,hyponyms 
champion,winner,None 
biography,fiction,None 
tax,income,None 
difficult,simple,None 
mouse,management,None 
man,father,co_hyponyms 
take,carry,identity 
strength,might,hypernyms 
book,information,indirect_hypernyms 
baby,daughter,hypernyms 
give,put,synonyms 
lose,get,synonyms 
try,think,indirect_hypernyms 
go,allow,hypernyms 
communication,language,hyponyms 
door,gate,co_hyponyms 
absence,presence,antonyms 
join,add,synonyms 
