actress,actor,hypernyms 
molecule,atom,identity 
winter,summer,co_hyponyms 
south,north,antonyms 
actor,singer,None 
composer,writer,None 
dog,cat,None 
wife,husband,antonyms 
basketball,baseball,co_hyponyms 
large,huge,similar_tos 
movie,film,identity 
mother,wife,None 
narrow,broad,antonyms 
explain,prove,co_hyponyms 
brother,son,None 
create,build,synonyms 
bring,send,hypernyms 
apparent,obvious,similar_tos 
son,father,None 
boundary,border,synonyms 
easy,difficult,antonyms 
logic,arithmetic,None 
understand,know,hyponyms 
keep,protect,hypernyms 
formula,equation,co_hyponyms 
father,daughter,None 
send,receive,co_hyponyms 
want,choose,co_hyponyms 
water,salt,co_hyponyms 
river,valley,None 
phrase,word,identity 
atom,carbon,None 
leave,enter,co_hyponyms 
dog,horse,None 
create,make,identity 
receive,give,synonyms 
father,brother,None 
carry,bring,synonyms 
save,protect,None 
navy,army,co_hyponyms 
keep,give,synonyms 
woman,man,antonyms 
agree,argue,None 
friend,teacher,None 
president,mayor,None 
absence,presence,antonyms 
essential,necessary,identity 
area,region,identity 
tax,income,None 
driver,pilot,None 
moon,planet,hypernyms 
north,west,indirect_part_holonyms 
lose,keep,antonyms 
hard,difficult,identity 
go,send,indirect_hyponyms 
accept,believe,hyponyms 
beach,island,None 
prince,king,co_member_meronyms 
boat,car,hyponyms 
hard,easy,antonyms 
give,allow,synonyms 
author,creator,indirect_hypernyms 
bottom,top,antonyms 
belief,opinion,identity 
sun,sky,None 
door,gate,co_hyponyms 
argue,prove,None 
add,build,hypernyms 
friend,mother,None 
wide,narrow,antonyms 
go,enter,hyponyms 
short,long,antonyms 
boy,soldier,None 
give,put,synonyms 
take,receive,synonyms 
winner,candidate,co_hyponyms 
alcohol,wine,hyponyms 
glass,crystal,indirect_hyponyms 
god,spirit,co_hyponyms 
hand,foot,indirect_hypernyms 
science,psychology,hyponyms 
attention,interest,None 
baby,daughter,hypernyms 
lose,get,synonyms 
winter,season,hypernyms 
sea,ocean,identity 
snow,weather,indirect_hypernyms 
woman,wife,hyponyms 
argument,criticism,None 
know,believe,hypernyms 
book,essay,None 
take,carry,identity 
leave,go,synonyms 
style,fashion,identity 
river,sea,None 
door,floor,co_hyponyms 
way,manner,identity 
mouse,cat,None 
get,put,synonyms 
decade,century,part_holonyms 
fast,rapid,similar_tos 
give,know,indirect_hypernyms 
chief,mayor,None 
motor,boat,None 
go,come,synonyms 
come,bring,synonyms 
day,morning,part_meronyms 
modern,ancient,co_hyponyms 
student,professor,None 
achieve,try,indirect_hyponyms 
champion,winner,None 
god,priest,None 
journey,conquest,None 
king,princess,co_member_meronyms 
necessary,important,None 
situation,condition,hypernyms 
child,adult,co_hyponyms 
take,obtain,synonyms 
formal,proper,None 
couple,pair,identity 
book,story,co_hyponyms 
vehicle,bus,indirect_hyponyms 
take,leave,synonyms 
simple,easy,also_sees 
leave,remain,None 
wood,paper,None 
father,god,None 
doctor,professor,None 
agree,differ,antonyms 
song,story,None 
book,bible,identity 
beer,alcohol,indirect_hypernyms 
girl,child,hyponyms 
join,add,synonyms 
administration,management,hypernyms 
bottom,side,hypernyms 
dictionary,definition,None 
motor,engine,hyponyms 
belief,concept,co_hyponyms 
politician,president,None 
opinion,choice,None 
night,day,part_holonyms 
machine,engine,indirect_hyponyms 
tower,bell,None 
leader,manager,indirect_hyponyms 
winner,goal,None 
sky,universe,part_holonyms 
try,think,indirect_hypernyms 
era,decade,co_hyponyms 
corporation,business,indirect_hypernyms 
battle,conquest,None 
adult,baby,indirect_hyponyms 
begin,go,synonyms 
wealth,fame,None 
long,narrow,None 
difficult,simple,None 
foot,head,indirect_part_meronyms 
effort,difficulty,hyponyms 
population,people,hypernyms 
date,calendar,None 
boy,son,identity 
area,zone,co_hyponyms 
discussion,argument,hyponyms 
opinion,idea,synonyms 
task,job,identity 
man,child,hyponyms 
book,text,hyponyms 
child,boy,indirect_hyponyms 
business,company,None 
activity,movement,hyponyms 
beach,sea,None 
argue,differ,entailments 
become,seem,None 
boy,brother,None 
water,ice,substance_holonyms 
make,become,synonyms 
proof,fact,None 
get,remain,None 
idea,scheme,indirect_hyponyms 
intelligence,logic,None 
word,dictionary,None 
