actress,actor,hypernyms 
actor,singer,None 
composer,writer,None 
south,north,antonyms 
son,father,None 
movie,film,identity 
brother,son,None 
winter,summer,co_hyponyms 
basketball,baseball,co_hyponyms 
understand,know,hyponyms 
father,brother,None 
mother,wife,None 
dog,cat,None 
area,region,identity 
father,daughter,None 
molecule,atom,identity 
create,make,identity 
river,valley,None 
north,west,indirect_part_holonyms 
prince,king,co_member_meronyms 
create,build,synonyms 
easy,difficult,antonyms 
accept,believe,hyponyms 
phrase,word,identity 
boundary,border,synonyms 
atom,carbon,None 
want,choose,co_hyponyms 
large,huge,similar_tos 
god,spirit,co_hyponyms 
know,believe,hypernyms 
father,god,None 
logic,arithmetic,None 
woman,man,antonyms 
dog,horse,None 
formula,equation,co_hyponyms 
modern,ancient,co_hyponyms 
navy,army,co_hyponyms 
give,allow,synonyms 
narrow,broad,antonyms 
give,know,indirect_hypernyms 
wife,husband,antonyms 
sea,ocean,identity 
word,dictionary,None 
population,people,hypernyms 
moon,planet,hypernyms 
administration,management,hypernyms 
explain,prove,co_hyponyms 
keep,give,synonyms 
book,story,co_hyponyms 
beach,island,None 
bring,send,hypernyms 
hard,difficult,identity 
add,build,hypernyms 
difficult,simple,None 
river,sea,None 
baby,daughter,hypernyms 
keep,protect,hypernyms 
friend,mother,None 
go,come,synonyms 
short,long,antonyms 
hard,simple,None 
make,become,synonyms 
science,psychology,hyponyms 
book,bible,identity 
boy,brother,None 
apparent,obvious,similar_tos 
simple,easy,also_sees 
achieve,try,indirect_hyponyms 
mouse,cat,None 
old,new,antonyms 
politician,president,None 
woman,wife,hyponyms 
water,salt,co_hyponyms 
receive,give,synonyms 
winter,season,hypernyms 
take,carry,identity 
hard,easy,antonyms 
argument,criticism,None 
absence,presence,antonyms 
new,ancient,None 
word,literature,None 
belief,concept,co_hyponyms 
different,normal,None 
book,article,co_hyponyms 
book,literature,None 
man,father,co_hyponyms 
communication,language,hyponyms 
vehicle,bus,indirect_hyponyms 
become,appear,None 
formal,proper,None 
tax,income,None 
mouse,management,None 
lose,get,synonyms 
president,mayor,None 
get,put,synonyms 
job,management,None 
essential,necessary,identity 
corporation,business,indirect_hypernyms 
bottom,top,antonyms 
carry,bring,synonyms 
word,page,None 
boy,son,identity 
people,party,None 
leave,remain,None 
recent,new,similar_tos 
friend,teacher,None 
business,company,None 
dictionary,definition,None 
book,text,hyponyms 
money,capital,None 
agree,argue,None 
go,allow,hypernyms 
go,enter,hyponyms 
leave,go,synonyms 
chemistry,theory,None 
door,gate,co_hyponyms 
machine,engine,indirect_hyponyms 
night,day,part_holonyms 
wide,narrow,antonyms 
try,think,indirect_hypernyms 
take,receive,synonyms 
