actress,actor,hypernyms 
actor,singer,None 
composer,writer,None 
south,north,antonyms 
son,father,None 
mother,wife,None 
winter,summer,co_hyponyms 
basketball,baseball,co_hyponyms 
brother,son,None 
movie,film,identity 
molecule,atom,identity 
area,region,identity 
understand,know,hyponyms 
father,brother,None 
boundary,border,synonyms 
dog,cat,None 
north,west,indirect_part_holonyms 
father,daughter,None 
river,valley,None 
prince,king,co_member_meronyms 
know,believe,hypernyms 
logic,arithmetic,None 
create,make,identity 
easy,difficult,antonyms 
create,build,synonyms 
navy,army,co_hyponyms 
accept,believe,hyponyms 
modern,ancient,co_hyponyms 
population,people,hypernyms 
woman,man,antonyms 
formula,equation,co_hyponyms 
river,sea,None 
beach,island,None 
large,huge,similar_tos 
father,god,None 
hard,difficult,identity 
atom,carbon,None 
administration,management,hypernyms 
narrow,broad,antonyms 
book,article,co_hyponyms 
old,new,antonyms 
word,page,None 
moon,planet,hypernyms 
phrase,word,identity 
give,allow,synonyms 
god,spirit,co_hyponyms 
word,dictionary,None 
want,choose,co_hyponyms 
receive,give,synonyms 
wife,husband,antonyms 
dog,horse,None 
chemistry,theory,None 
book,story,co_hyponyms 
book,bible,identity 
new,ancient,None 
sea,ocean,identity 
book,literature,None 
book,text,hyponyms 
give,know,indirect_hypernyms 
corporation,business,indirect_hypernyms 
essential,necessary,identity 
word,literature,None 
short,long,antonyms 
woman,wife,hyponyms 
different,normal,None 
science,psychology,hyponyms 
business,company,None 
bottom,top,antonyms 
keep,give,synonyms 
people,party,None 
politician,president,None 
formal,proper,None 
difficult,simple,None 
go,come,synonyms 
book,information,indirect_hypernyms 
job,management,None 
friend,mother,None 
disc,computer,None 
hard,easy,antonyms 
get,put,synonyms 
money,capital,None 
boy,brother,None 
boy,son,identity 
mouse,cat,None 
intelligence,logic,None 
make,become,synonyms 
machine,engine,indirect_hyponyms 
belief,concept,co_hyponyms 
go,allow,hypernyms 
water,ice,substance_holonyms 
dictionary,definition,None 
simple,easy,also_sees 
lose,get,synonyms 
winter,season,hypernyms 
take,receive,synonyms 
become,appear,None 
plane,airport,None 
apparent,obvious,similar_tos 
student,professor,None 
beer,alcohol,indirect_hypernyms 
hard,simple,None 
situation,condition,hypernyms 
argument,criticism,None 
tax,income,None 
leave,go,synonyms 
night,day,part_holonyms 
explain,prove,co_hyponyms 
man,child,hyponyms 
add,build,hypernyms 
large,big,identity 
water,salt,co_hyponyms 
man,father,co_hyponyms 
leave,remain,None 
business,industry,hyponyms 
communication,language,hyponyms 
take,leave,synonyms 
reality,fantasy,None 
absence,presence,antonyms 
necessary,important,None 
recent,new,similar_tos 
book,essay,None 
home,state,indirect_hypernyms 
