actress,actor,hypernyms 
composer,writer,None 
actor,singer,None 
son,father,None 
south,north,antonyms 
movie,film,identity 
winter,summer,co_hyponyms 
brother,son,None 
area,region,identity 
father,brother,None 
mother,wife,None 
river,valley,None 
father,daughter,None 
north,west,indirect_part_holonyms 
basketball,baseball,co_hyponyms 
prince,king,co_member_meronyms 
understand,know,hyponyms 
woman,man,antonyms 
population,people,hypernyms 
dog,cat,None 
father,god,None 
molecule,atom,identity 
boundary,border,synonyms 
navy,army,co_hyponyms 
word,dictionary,None 
short,long,antonyms 
logic,arithmetic,None 
people,party,None 
create,make,identity 
corporation,business,indirect_hypernyms 
business,company,None 
boy,son,identity 
narrow,broad,antonyms 
formula,equation,co_hyponyms 
administration,management,hypernyms 
water,ice,substance_holonyms 
sea,ocean,identity 
beach,island,None 
modern,ancient,co_hyponyms 
dog,horse,None 
know,believe,hypernyms 
business,industry,hyponyms 
absence,presence,antonyms 
book,article,co_hyponyms 
easy,difficult,antonyms 
phrase,word,identity 
river,sea,None 
atom,carbon,None 
word,page,None 
bottom,top,antonyms 
book,story,co_hyponyms 
book,information,indirect_hypernyms 
new,ancient,None 
give,allow,synonyms 
god,spirit,co_hyponyms 
science,psychology,hyponyms 
create,build,synonyms 
accept,believe,hyponyms 
old,new,antonyms 
book,bible,identity 
man,father,co_hyponyms 
disc,computer,None 
book,literature,None 
moon,planet,hypernyms 
different,normal,None 
boy,brother,None 
home,state,indirect_hypernyms 
word,literature,None 
friend,mother,None 
child,boy,indirect_hyponyms 
game,action,hypernyms 
book,text,hyponyms 
go,come,synonyms 
dictionary,definition,None 
chemistry,theory,None 
intelligence,logic,None 
large,huge,similar_tos 
machine,engine,indirect_hyponyms 
hard,difficult,identity 
man,child,hyponyms 
motor,engine,hyponyms 
night,day,part_holonyms 
communication,language,hyponyms 
school,law,None 
belief,concept,co_hyponyms 
keep,give,synonyms 
money,capital,None 
large,big,identity 
medium,news,None 
college,class,None 
water,salt,co_hyponyms 
necessary,important,None 
door,gate,co_hyponyms 
tax,income,None 
go,allow,hypernyms 
chief,mayor,None 
go,enter,hyponyms 
idea,image,indirect_hyponyms 
politician,president,None 
club,society,identity 
difficult,simple,None 
girl,child,hyponyms 
leave,enter,co_hyponyms 
mouse,cat,None 
mouse,management,None 
president,mayor,None 
receive,give,synonyms 
glass,crystal,indirect_hyponyms 
area,zone,co_hyponyms 
make,become,synonyms 
essential,necessary,identity 
give,know,indirect_hypernyms 
card,bridge,None 
wife,husband,antonyms 
want,choose,co_hyponyms 
argument,criticism,None 
biography,fiction,None 
winter,season,hypernyms 
add,build,hypernyms 
date,calendar,None 
leave,go,synonyms 
take,leave,synonyms 
princess,island,None 
right,justice,hypernyms 
house,key,co_hyponyms 
hard,simple,None 
king,princess,co_member_meronyms 
reality,fantasy,None 
take,receive,synonyms 
sun,sky,None 
woman,wife,hyponyms 
winner,candidate,co_hyponyms 
street,car,None 
get,put,synonyms 
top,side,hypernyms 
plane,airport,None 
alcohol,wine,hyponyms 
style,fashion,identity 
apparent,obvious,similar_tos 
child,adult,co_hyponyms 
snow,weather,indirect_hypernyms 
code,symbol,None 
big,heavy,identity 
leave,remain,None 
hand,foot,indirect_hypernyms 
carry,bring,synonyms 
bring,send,hypernyms 
vehicle,bus,indirect_hyponyms 
hard,easy,antonyms 
champion,winner,None 
arm,body,part_holonyms 
fast,rapid,similar_tos 
day,morning,part_meronyms 
foot,head,indirect_part_meronyms 
beer,alcohol,indirect_hypernyms 
take,carry,identity 
explain,prove,co_hyponyms 
value,belief,None 
keep,protect,hypernyms 
become,appear,None 
way,manner,identity 
car,bridge,None 
animal,person,co_hyponyms 
student,professor,None 
boat,car,hyponyms 
people,gun,None 
job,management,None 
give,put,synonyms 
leader,manager,indirect_hyponyms 
song,story,None 
wide,narrow,antonyms 
join,add,synonyms 
recent,new,similar_tos 
come,bring,synonyms 
baby,daughter,hypernyms 
room,cell,hyponyms 
august,month,indirect_hypernyms 
activity,movement,hyponyms 
idea,scheme,indirect_hyponyms 
lose,get,synonyms 
beach,sea,None 
book,essay,None 
rice,boy,None 
communication,television,indirect_hyponyms 
formal,proper,None 
long,narrow,None 
dollar,people,None 
word,newspaper,None 
get,remain,None 
couple,pair,identity 
simple,easy,also_sees 
tower,bell,None 
molecule,air,None 
friend,teacher,None 
article,journal,None 
money,diamond,None 
discussion,argument,hyponyms 
motor,boat,None 
action,course,hyponyms 
agree,argue,None 
hole,wife,None 
sky,universe,part_holonyms 
proof,fact,None 
save,protect,None 
go,send,indirect_hyponyms 
lose,keep,antonyms 
belief,opinion,identity 
bottom,side,hypernyms 
condition,boy,None 
send,receive,co_hyponyms 
begin,go,synonyms 
wood,paper,None 
driver,pilot,None 
newspaper,information,None 
become,seem,None 
brother,soul,indirect_hypernyms 
doctor,professor,None 
leave,appear,indirect_hyponyms 
god,priest,None 
author,creator,indirect_hypernyms 
plate,bowl,co_hyponyms 
intelligence,skill,co_hyponyms 
book,theme,co_hyponyms 
try,think,indirect_hypernyms 
situation,condition,hypernyms 
argument,agreement,None 
bell,door,None 
task,job,identity 
battle,conquest,None 
door,floor,co_hyponyms 
achieve,try,indirect_hyponyms 
bird,turkey,indirect_hyponyms 
strength,might,hypernyms 
bad,great,synonyms 
take,obtain,synonyms 
boy,soldier,None 
big,broad,synonyms 
opinion,idea,synonyms 
woman,secretary,None 
attention,interest,None 
man,husband,None 
destruction,construction,None 
argue,prove,None 
hole,agreement,None 
boy,partner,None 
adult,baby,indirect_hyponyms 
car,highway,None 
island,task,None 
night,chapter,None 
second,minute,identity 
winner,goal,None 
camera,president,None 
decade,century,part_holonyms 
agree,differ,antonyms 
winner,presence,None 
presence,door,None 
easy,big,None 
era,decade,co_hyponyms 
wealth,fame,None 
chapter,choice,None 
opinion,choice,None 
effort,difficulty,hyponyms 
journey,conquest,None 
argue,differ,entailments 
task,woman,None 
wealth,poverty,antonyms 
task,highway,None 
