actress,actor,hypernyms 
actor,singer,None 
son,father,None 
composer,writer,None 
south,north,antonyms 
brother,son,None 
mother,wife,None 
movie,film,identity 
winter,summer,co_hyponyms 
father,brother,None 
area,region,identity 
father,daughter,None 
north,west,indirect_part_holonyms 
prince,king,co_member_meronyms 
basketball,baseball,co_hyponyms 
river,valley,None 
woman,man,antonyms 
understand,know,hyponyms 
modern,ancient,co_hyponyms 
boundary,border,synonyms 
molecule,atom,identity 
sea,ocean,identity 
know,believe,hypernyms 
population,people,hypernyms 
moon,planet,hypernyms 
father,god,None 
create,make,identity 
dog,cat,None 
river,sea,None 
new,ancient,None 
old,new,antonyms 
navy,army,co_hyponyms 
logic,arithmetic,None 
administration,management,hypernyms 
phrase,word,identity 
formula,equation,co_hyponyms 
word,dictionary,None 
easy,difficult,antonyms 
atom,carbon,None 
people,party,None 
science,psychology,hyponyms 
god,spirit,co_hyponyms 
corporation,business,indirect_hypernyms 
business,company,None 
word,page,None 
dog,horse,None 
book,bible,identity 
bottom,top,antonyms 
word,literature,None 
accept,believe,hyponyms 
boy,son,identity 
wife,husband,antonyms 
book,story,co_hyponyms 
create,build,synonyms 
chemistry,theory,None 
short,long,antonyms 
book,article,co_hyponyms 
man,father,co_hyponyms 
beach,island,None 
large,huge,similar_tos 
keep,give,synonyms 
home,state,indirect_hypernyms 
book,information,indirect_hypernyms 
book,text,hyponyms 
give,allow,synonyms 
book,literature,None 
business,industry,hyponyms 
dictionary,definition,None 
water,ice,substance_holonyms 
make,become,synonyms 
door,gate,co_hyponyms 
woman,wife,hyponyms 
disc,computer,None 
water,salt,co_hyponyms 
child,boy,indirect_hyponyms 
winter,season,hypernyms 
belief,concept,co_hyponyms 
politician,president,None 
man,child,hyponyms 
go,come,synonyms 
hard,difficult,identity 
communication,language,hyponyms 
boy,brother,None 
machine,engine,indirect_hyponyms 
narrow,broad,antonyms 
tax,income,None 
give,know,indirect_hypernyms 
president,mayor,None 
different,normal,None 
night,day,part_holonyms 
college,class,None 
large,big,identity 
argument,criticism,None 
join,add,synonyms 
money,capital,None 
essential,necessary,identity 
song,story,None 
vehicle,bus,indirect_hyponyms 
fast,rapid,similar_tos 
medium,news,None 
want,choose,co_hyponyms 
friend,mother,None 
add,build,hypernyms 
plane,airport,None 
necessary,important,None 
go,allow,hypernyms 
go,enter,hyponyms 
leave,remain,None 
difficult,simple,None 
game,action,hypernyms 
leave,enter,co_hyponyms 
intelligence,logic,None 
leave,go,synonyms 
formal,proper,None 
school,law,None 
right,justice,hypernyms 
motor,engine,hyponyms 
hard,easy,antonyms 
beer,alcohol,indirect_hypernyms 
hand,foot,indirect_hypernyms 
snow,weather,indirect_hypernyms 
simple,easy,also_sees 
champion,winner,None 
area,zone,co_hyponyms 
club,society,identity 
mouse,cat,None 
mouse,management,None 
girl,child,hyponyms 
king,princess,co_member_meronyms 
winner,candidate,co_hyponyms 
glass,crystal,indirect_hyponyms 
sun,sky,None 
situation,condition,hypernyms 
take,leave,synonyms 
big,heavy,identity 
hard,simple,None 
recent,new,similar_tos 
bring,send,hypernyms 
absence,presence,antonyms 
top,side,hypernyms 
take,carry,identity 
take,receive,synonyms 
wood,paper,None 
reality,fantasy,None 
august,month,indirect_hypernyms 
become,appear,None 
card,bridge,None 
way,manner,identity 
activity,movement,hyponyms 
molecule,air,None 
animal,person,co_hyponyms 
save,protect,None 
idea,image,indirect_hyponyms 
receive,give,synonyms 
apparent,obvious,similar_tos 
get,put,synonyms 
lose,get,synonyms 
condition,boy,None 
date,calendar,None 
keep,protect,hypernyms 
proof,fact,None 
house,key,co_hyponyms 
car,bridge,None 
agree,argue,None 
street,car,None 
baby,daughter,hypernyms 
article,journal,None 
chief,mayor,None 
biography,fiction,None 
job,management,None 
alcohol,wine,hyponyms 
sky,universe,part_holonyms 
student,professor,None 
communication,television,indirect_hyponyms 
foot,head,indirect_part_meronyms 
wide,narrow,antonyms 
money,diamond,None 
friend,teacher,None 
