actress,actor,hypernyms 
actor,singer,None 
south,north,antonyms 
composer,writer,None 
son,father,None 
movie,film,identity 
mother,wife,None 
father,brother,None 
brother,son,None 
area,region,identity 
father,daughter,None 
winter,summer,co_hyponyms 
molecule,atom,identity 
basketball,baseball,co_hyponyms 
north,west,indirect_part_holonyms 
understand,know,hyponyms 
prince,king,co_member_meronyms 
river,valley,None 
woman,man,antonyms 
boundary,border,synonyms 
formula,equation,co_hyponyms 
create,make,identity 
population,people,hypernyms 
word,dictionary,None 
dog,cat,None 
create,build,synonyms 
father,god,None 
dog,horse,None 
navy,army,co_hyponyms 
water,ice,substance_holonyms 
modern,ancient,co_hyponyms 
corporation,business,indirect_hypernyms 
sea,ocean,identity 
word,page,None 
know,believe,hypernyms 
accept,believe,hyponyms 
new,ancient,None 
river,sea,None 
god,spirit,co_hyponyms 
administration,management,hypernyms 
easy,difficult,antonyms 
science,psychology,hyponyms 
book,bible,identity 
atom,carbon,None 
old,new,antonyms 
bottom,top,antonyms 
people,party,None 
give,allow,synonyms 
home,state,indirect_hypernyms 
moon,planet,hypernyms 
logic,arithmetic,None 
narrow,broad,antonyms 
book,article,co_hyponyms 
medium,news,None 
word,literature,None 
water,salt,co_hyponyms 
chemistry,theory,None 
disc,computer,None 
short,long,antonyms 
large,huge,similar_tos 
different,normal,None 
absence,presence,antonyms 
keep,give,synonyms 
phrase,word,identity 
large,big,identity 
beach,island,None 
business,company,None 
belief,concept,co_hyponyms 
want,choose,co_hyponyms 
make,become,synonyms 
book,text,hyponyms 
man,father,co_hyponyms 
night,day,part_holonyms 
go,come,synonyms 
book,literature,None 
wife,husband,antonyms 
book,information,indirect_hypernyms 
friend,mother,None 
formal,proper,None 
get,put,synonyms 
book,story,co_hyponyms 
essential,necessary,identity 
man,child,hyponyms 
add,build,hypernyms 
business,industry,hyponyms 
boy,brother,None 
alcohol,wine,hyponyms 
boy,son,identity 
intelligence,logic,None 
politician,president,None 
give,know,indirect_hypernyms 
woman,wife,hyponyms 
dictionary,definition,None 
necessary,important,None 
hard,easy,antonyms 
hard,difficult,identity 
go,allow,hypernyms 
game,action,hypernyms 
snow,weather,indirect_hypernyms 
motor,engine,hyponyms 
money,capital,None 
president,mayor,None 
difficult,simple,None 
communication,language,hyponyms 
plane,airport,None 
situation,condition,hypernyms 
join,add,synonyms 
tax,income,None 
child,boy,indirect_hyponyms 
vehicle,bus,indirect_hyponyms 
wood,paper,None 
way,manner,identity 
go,enter,hyponyms 
come,bring,synonyms 
idea,image,indirect_hyponyms 
baby,daughter,hypernyms 
winter,season,hypernyms 
leave,go,synonyms 
club,society,identity 
wide,narrow,antonyms 
machine,engine,indirect_hyponyms 
glass,crystal,indirect_hyponyms 
door,gate,co_hyponyms 
job,management,None 
keep,protect,hypernyms 
school,law,None 
song,story,None 
beer,alcohol,indirect_hypernyms 
argument,criticism,None 
mouse,management,None 
college,class,None 
recent,new,similar_tos 
mouse,cat,None 
hard,simple,None 
give,put,synonyms 
become,appear,None 
take,leave,synonyms 
sun,sky,None 
right,justice,hypernyms 
date,calendar,None 
king,princess,co_member_meronyms 
simple,easy,also_sees 
style,fashion,identity 
driver,pilot,None 
carry,bring,synonyms 
hand,foot,indirect_hypernyms 
receive,give,synonyms 
biography,fiction,None 
leave,remain,None 
top,side,hypernyms 
send,receive,co_hyponyms 
take,carry,identity 
idea,scheme,indirect_hyponyms 
child,adult,co_hyponyms 
value,belief,None 
area,zone,co_hyponyms 
bring,send,hypernyms 
student,professor,None 
take,receive,synonyms 
girl,child,hyponyms 
molecule,air,None 
activity,movement,hyponyms 
strength,might,hypernyms 
book,essay,None 
brother,soul,indirect_hypernyms 
winner,candidate,co_hyponyms 
explain,prove,co_hyponyms 
proof,fact,None 
rice,boy,None 
article,journal,None 
street,car,None 
couple,pair,identity 
day,morning,part_meronyms 
achieve,try,indirect_hyponyms 
friend,teacher,None 
champion,winner,None 
beach,sea,None 
apparent,obvious,similar_tos 
princess,island,None 
fast,rapid,similar_tos 
belief,opinion,identity 
leave,enter,co_hyponyms 
reality,fantasy,None 
chief,mayor,None 
august,month,indirect_hypernyms 
discussion,argument,hyponyms 
animal,person,co_hyponyms 
house,key,co_hyponyms 
card,bridge,None 
god,priest,None 
bottom,side,hypernyms 
hole,wife,None 
begin,go,synonyms 
communication,television,indirect_hyponyms 
big,heavy,identity 
save,protect,None 
agree,argue,None 
money,diamond,None 
word,newspaper,None 
condition,boy,None 
long,narrow,None 
try,think,indirect_hypernyms 
boat,car,hyponyms 
car,bridge,None 
people,gun,None 
lose,get,synonyms 
foot,head,indirect_part_meronyms 
tower,bell,None 
argue,prove,None 
attention,interest,None 
leave,appear,indirect_hyponyms 
code,symbol,None 
get,remain,None 
dollar,people,None 
author,creator,indirect_hypernyms 
book,theme,co_hyponyms 
take,obtain,synonyms 
action,course,hyponyms 
leader,manager,indirect_hyponyms 
arm,body,part_holonyms 
battle,conquest,None 
argument,agreement,None 
task,job,identity 
decade,century,part_holonyms 
become,seem,None 
man,husband,None 
motor,boat,None 
intelligence,skill,co_hyponyms 
boy,soldier,None 
go,send,indirect_hyponyms 
big,broad,synonyms 
newspaper,information,None 
era,decade,co_hyponyms 
night,chapter,None 
lose,keep,antonyms 
boy,partner,None 
woman,secretary,None 
island,task,None 
room,cell,hyponyms 
second,minute,identity 
hole,agreement,None 
sky,universe,part_holonyms 
door,floor,co_hyponyms 
camera,president,None 
doctor,professor,None 
journey,conquest,None 
bird,turkey,indirect_hyponyms 
destruction,construction,None 
wealth,fame,None 
opinion,choice,None 
opinion,idea,synonyms 
plate,bowl,co_hyponyms 
easy,big,None 
car,highway,None 
bad,great,synonyms 
adult,baby,indirect_hyponyms 
agree,differ,antonyms 
bell,door,None 
presence,door,None 
chapter,choice,None 
winner,goal,None 
task,woman,None 
argue,differ,entailments 
effort,difficulty,hyponyms 
winner,presence,None 
wealth,poverty,antonyms 
task,highway,None 
