actress,actor,hypernyms 
actor,singer,None 
composer,writer,None 
south,north,antonyms 
winter,summer,co_hyponyms 
brother,son,None 
mother,wife,None 
son,father,None 
basketball,baseball,co_hyponyms 
understand,know,hyponyms 
movie,film,identity 
dog,cat,None 
create,make,identity 
molecule,atom,identity 
father,brother,None 
create,build,synonyms 
father,daughter,None 
river,valley,None 
logic,arithmetic,None 
north,west,indirect_part_holonyms 
large,huge,similar_tos 
area,region,identity 
know,believe,hypernyms 
formula,equation,co_hyponyms 
accept,believe,hyponyms 
phrase,word,identity 
prince,king,co_member_meronyms 
easy,difficult,antonyms 
boundary,border,synonyms 
want,choose,co_hyponyms 
atom,carbon,None 
give,allow,synonyms 
receive,give,synonyms 
keep,give,synonyms 
explain,prove,co_hyponyms 
water,salt,co_hyponyms 
administration,management,hypernyms 
give,know,indirect_hypernyms 
wife,husband,antonyms 
dog,horse,None 
woman,man,antonyms 
science,psychology,hyponyms 
keep,protect,hypernyms 
hard,difficult,identity 
navy,army,co_hyponyms 
apparent,obvious,similar_tos 
bring,send,hypernyms 
narrow,broad,antonyms 
add,build,hypernyms 
father,god,None 
winner,candidate,co_hyponyms 
moon,planet,hypernyms 
bottom,top,antonyms 
mouse,cat,None 
go,enter,hyponyms 
door,gate,co_hyponyms 
lose,get,synonyms 
join,add,synonyms 
god,spirit,co_hyponyms 
essential,necessary,identity 
achieve,try,indirect_hyponyms 
give,put,synonyms 
modern,ancient,co_hyponyms 
sea,ocean,identity 
beach,island,None 
champion,winner,None 
lose,keep,antonyms 
try,think,indirect_hypernyms 
save,protect,None 
leave,enter,co_hyponyms 
population,people,hypernyms 
president,mayor,None 
difficult,simple,None 
baby,daughter,hypernyms 
word,literature,None 
friend,mother,None 
carry,bring,synonyms 
word,dictionary,None 
politician,president,None 
boy,brother,None 
simple,easy,also_sees 
go,come,synonyms 
take,carry,identity 
send,receive,co_hyponyms 
take,receive,synonyms 
tax,income,None 
get,put,synonyms 
book,bible,identity 
leave,remain,None 
absence,presence,antonyms 
leave,go,synonyms 
book,story,co_hyponyms 
woman,wife,hyponyms 
hard,easy,antonyms 
job,management,None 
chemistry,theory,None 
boy,son,identity 
necessary,important,None 
go,allow,hypernyms 
argue,prove,None 
river,sea,None 
corporation,business,indirect_hypernyms 
come,bring,synonyms 
different,normal,None 
child,adult,co_hyponyms 
friend,teacher,None 
go,send,indirect_hyponyms 
make,become,synonyms 
winter,season,hypernyms 
snow,weather,indirect_hypernyms 
old,new,antonyms 
alcohol,wine,hyponyms 
word,page,None 
driver,pilot,None 
book,article,co_hyponyms 
short,long,antonyms 
night,day,part_holonyms 
sun,sky,None 
formal,proper,None 
