actress,actor,hypernyms 
actor,singer,None 
son,father,None 
south,north,antonyms 
composer,writer,None 
movie,film,identity 
area,region,identity 
brother,son,None 
winter,summer,co_hyponyms 
father,brother,None 
mother,wife,None 
father,daughter,None 
woman,man,antonyms 
river,valley,None 
north,west,indirect_part_holonyms 
basketball,baseball,co_hyponyms 
prince,king,co_member_meronyms 
river,sea,None 
boundary,border,synonyms 
word,dictionary,None 
father,god,None 
population,people,hypernyms 
molecule,atom,identity 
understand,know,hyponyms 
logic,arithmetic,None 
modern,ancient,co_hyponyms 
people,party,None 
know,believe,hypernyms 
dog,cat,None 
new,ancient,None 
bottom,top,antonyms 
navy,army,co_hyponyms 
short,long,antonyms 
sea,ocean,identity 
old,new,antonyms 
formula,equation,co_hyponyms 
business,company,None 
atom,carbon,None 
water,ice,substance_holonyms 
different,normal,None 
create,make,identity 
corporation,business,indirect_hypernyms 
book,article,co_hyponyms 
god,spirit,co_hyponyms 
narrow,broad,antonyms 
book,bible,identity 
science,psychology,hyponyms 
disc,computer,None 
book,information,indirect_hypernyms 
easy,difficult,antonyms 
beach,island,None 
give,allow,synonyms 
boy,son,identity 
administration,management,hypernyms 
dog,horse,None 
create,build,synonyms 
word,page,None 
medium,news,None 
dictionary,definition,None 
school,law,None 
book,literature,None 
book,text,hyponyms 
home,state,indirect_hypernyms 
chemistry,theory,None 
snow,weather,indirect_hypernyms 
boy,brother,None 
water,salt,co_hyponyms 
accept,believe,hyponyms 
child,boy,indirect_hyponyms 
book,story,co_hyponyms 
plane,airport,None 
moon,planet,hypernyms 
tax,income,None 
communication,language,hyponyms 
man,child,hyponyms 
belief,concept,co_hyponyms 
intelligence,logic,None 
absence,presence,antonyms 
college,class,None 
want,choose,co_hyponyms 
business,industry,hyponyms 
mouse,management,None 
idea,image,indirect_hyponyms 
word,literature,None 
way,manner,identity 
phrase,word,identity 
go,enter,hyponyms 
right,justice,hypernyms 
give,know,indirect_hypernyms 
go,come,synonyms 
large,huge,similar_tos 
leave,go,synonyms 
game,action,hypernyms 
man,father,co_hyponyms 
hand,foot,indirect_hypernyms 
friend,mother,None 
machine,engine,indirect_hyponyms 
keep,give,synonyms 
simple,easy,also_sees 
hard,difficult,identity 
money,capital,None 
hard,easy,antonyms 
politician,president,None 
biography,fiction,None 
glass,crystal,indirect_hyponyms 
card,bridge,None 
woman,wife,hyponyms 
club,society,identity 
dollar,people,None 
door,gate,co_hyponyms 
arm,body,part_holonyms 
beach,sea,None 
leave,remain,None 
house,key,co_hyponyms 
street,car,None 
night,day,part_holonyms 
bring,send,hypernyms 
vehicle,bus,indirect_hyponyms 
hard,simple,None 
argument,criticism,None 
mouse,cat,None 
child,adult,co_hyponyms 
code,symbol,None 
large,big,identity 
president,mayor,None 
take,carry,identity 
add,build,hypernyms 
carry,bring,synonyms 
join,add,synonyms 
explain,prove,co_hyponyms 
leader,manager,indirect_hyponyms 
champion,winner,None 
car,bridge,None 
receive,give,synonyms 
wife,husband,antonyms 
value,belief,None 
area,zone,co_hyponyms 
fast,rapid,similar_tos 
necessary,important,None 
book,essay,None 
discussion,argument,hyponyms 
winter,season,hypernyms 
make,become,synonyms 
get,put,synonyms 
top,side,hypernyms 
sun,sky,None 
girl,child,hyponyms 
come,bring,synonyms 
animal,person,co_hyponyms 
date,calendar,None 
song,story,None 
reality,fantasy,None 
essential,necessary,identity 
leave,enter,co_hyponyms 
foot,head,indirect_part_meronyms 
keep,protect,hypernyms 
wide,narrow,antonyms 
take,receive,synonyms 
motor,engine,hyponyms 
winner,candidate,co_hyponyms 
friend,teacher,None 
alcohol,wine,hyponyms 
activity,movement,hyponyms 
student,professor,None 
take,leave,synonyms 
job,management,None 
august,month,indirect_hypernyms 
king,princess,co_member_meronyms 
go,allow,hypernyms 
difficult,simple,None 
formal,proper,None 
lose,get,synonyms 
argue,prove,None 
molecule,air,None 
day,morning,part_meronyms 
beer,alcohol,indirect_hypernyms 
