actress,actor,hypernyms 
actor,singer,None 
son,father,None 
south,north,antonyms 
brother,son,None 
composer,writer,None 
area,region,identity 
father,brother,None 
mother,wife,None 
movie,film,identity 
basketball,baseball,co_hyponyms 
father,daughter,None 
molecule,atom,identity 
winter,summer,co_hyponyms 
river,valley,None 
north,west,indirect_part_holonyms 
father,god,None 
population,people,hypernyms 
modern,ancient,co_hyponyms 
bottom,top,antonyms 
boundary,border,synonyms 
river,sea,None 
short,long,antonyms 
formula,equation,co_hyponyms 
understand,know,hyponyms 
people,party,None 
atom,carbon,None 
school,law,None 
word,dictionary,None 
woman,man,antonyms 
logic,arithmetic,None 
sea,ocean,identity 
corporation,business,indirect_hypernyms 
book,bible,identity 
god,spirit,co_hyponyms 
prince,king,co_member_meronyms 
chemistry,theory,None 
know,believe,hypernyms 
create,make,identity 
navy,army,co_hyponyms 
belief,concept,co_hyponyms 
word,page,None 
old,new,antonyms 
home,state,indirect_hypernyms 
dictionary,definition,None 
business,company,None 
book,information,indirect_hypernyms 
dog,cat,None 
administration,management,hypernyms 
science,psychology,hyponyms 
easy,difficult,antonyms 
boy,son,identity 
water,ice,substance_holonyms 
college,class,None 
different,normal,None 
wife,husband,antonyms 
new,ancient,None 
book,text,hyponyms 
keep,give,synonyms 
man,father,co_hyponyms 
book,article,co_hyponyms 
dog,horse,None 
game,action,hypernyms 
winner,candidate,co_hyponyms 
beach,island,None 
boy,brother,None 
go,come,synonyms 
sun,sky,None 
absence,presence,antonyms 
glass,crystal,indirect_hyponyms 
give,allow,synonyms 
snow,weather,indirect_hypernyms 
intelligence,logic,None 
man,child,hyponyms 
book,literature,None 
accept,believe,hyponyms 
child,boy,indirect_hyponyms 
club,society,identity 
moon,planet,hypernyms 
night,day,part_holonyms 
create,build,synonyms 
disc,computer,None 
water,salt,co_hyponyms 
get,put,synonyms 
machine,engine,indirect_hyponyms 
mouse,management,None 
go,allow,hypernyms 
tax,income,None 
book,story,co_hyponyms 
keep,protect,hypernyms 
winter,season,hypernyms 
woman,wife,hyponyms 
make,become,synonyms 
alcohol,wine,hyponyms 
right,justice,hypernyms 
receive,give,synonyms 
narrow,broad,antonyms 
word,literature,None 
hard,difficult,identity 
champion,winner,None 
arm,body,part_holonyms 
plane,airport,None 
give,know,indirect_hypernyms 
street,car,None 
business,industry,hyponyms 
essential,necessary,identity 
communication,language,hyponyms 
argument,criticism,None 
mouse,cat,None 
money,capital,None 
house,key,co_hyponyms 
idea,image,indirect_hyponyms 
want,choose,co_hyponyms 
molecule,air,None 
top,side,hypernyms 
leave,enter,co_hyponyms 
motor,engine,hyponyms 
area,zone,co_hyponyms 
politician,president,None 
large,huge,similar_tos 
hand,foot,indirect_hypernyms 
value,belief,None 
save,protect,None 
difficult,simple,None 
send,receive,co_hyponyms 
take,leave,synonyms 
door,floor,co_hyponyms 
friend,mother,None 
leave,go,synonyms 
biography,fiction,None 
door,gate,co_hyponyms 
wood,paper,None 
bring,send,hypernyms 
necessary,important,None 
beach,sea,None 
medium,news,None 
take,receive,synonyms 
large,big,identity 
simple,easy,also_sees 
action,course,hyponyms 
king,princess,co_member_meronyms 
come,bring,synonyms 
card,bridge,None 
code,symbol,None 
president,mayor,None 
agree,argue,None 
way,manner,identity 
go,enter,hyponyms 
vehicle,bus,indirect_hyponyms 
beer,alcohol,indirect_hypernyms 
add,build,hypernyms 
hard,simple,None 
formal,proper,None 
car,bridge,None 
girl,child,hyponyms 
book,essay,None 
tower,bell,None 
animal,person,co_hyponyms 
god,priest,None 
discussion,argument,hyponyms 
explain,prove,co_hyponyms 
achieve,try,indirect_hyponyms 
date,calendar,None 
dollar,people,None 
take,carry,identity 
bottom,side,hypernyms 
baby,daughter,hypernyms 
child,adult,co_hyponyms 
winner,goal,None 
carry,bring,synonyms 
condition,boy,None 
phrase,word,identity 
leader,manager,indirect_hyponyms 
chief,mayor,None 
recent,new,similar_tos 
activity,movement,hyponyms 
get,remain,None 
